SCHOOL_DISTRICT_CODE,SCHOOL_DISTRICT_NAME,SCHOOL_CODE,SCHOOL_NAME,SCHOOL_CITY,SCHOOL_POSTAL_CODE
0090,Sahtu Divisional Education Council,0039,MacKenzie Mountain School,Norman Wells,X0E0V0
9858,It Takes A Village Educational Society,0179,It Takes a Village Kindergarten,Cochrane,T4C1B2
9881,Beverly Day Care Society & Family Resource Centre,0214,Beverly Day Care Centre,Edmonton,T5W2Y4
9926,Teaching Tree Montessori Sch,0255,Teaching Tree Montessori School,Calgary,T2W1G4
9945,Victory Christian Fellowship of Lethbridge (1983) Inc.,0270,Agape Early Childhood Services,Lethbridge,T1J4K4
9377,Red Earth Childrens Assoc,0287,Red Earth Community Hall,Red Earth Creek,T0G1X0
1085,Grande Yellowhead Public School Division,0327,The Learning Connection - Grande Cache,Grande Cache,T0E0Y0
9098,Grant MacEwan (ASN),0501,Grant MacEwan Community College (ASN),Edmonton,T5K0L2
9510,West Central Pre-School Soc,0612,Clairmont ECS Portable,,
2275,The Northern Gateway School Division,0636,Darwell Teacherage ECS,Darwell,T0E0L0
9523,Breton K Parent Assoc,0659,Breton Elementary School ECS,,
9585,Clive & District ECS Society,0733,Clive School ECS,,
9586,Coronation ECS,0734,Coronation School ECS,Coronation,T0C1C0
9612,Sedgewick Early Childhood Centre,0765,Sedgewick ECS Portable,Sedgewick,T0B4C0
9719,Redcliff ECS Association,0912,I F Cox School,,
9652,Family Life Ed Council,0933,Ogden O N C,,
9652,Family Life Ed Council,0934,St. Matthew's O N C,,
9763,Ardmore ECS,0946,Ardmore ECS,,
9778,Drayton V Assoc Dev Handi,0970,Portage In-Home Program ECS,,
0094,Nunavut - Department of Education,0038,Inuksuit School,Qikiqtarjuaq,X0A0B0
9123,Lakeland College,1262,Lakeland College - Sherwood Park,Sherwood Park,T8H2M3
0177,The Peace Wapiti School Division,1304,Rycroft School,Rycroft,T0H3A0
0177,The Peace Wapiti School Division,1310,Woking Community Hall ECS,,
4160,The Fort McMurray Roman Catholic Separate School Division,1354,St. Martha Catholic School,Fort McMurray,T9K0B3
0201,Mrs. P's Place Kindergarten Society,1355,Mrs. P's Place,Olds,T4H1C5
9247,Buffalo Head Mennonite School Society,1356,Ostland School,Buffalo Head Prairie,T0H4A0
9827,Providence Child Development Society,1385,Providence Children's Centre - Midnapore,Calgary,T2V0Z4
3260,The Board of Trustees of Fort McMurray Public School Division,1849,Gregoire Park Elementary School,Fort McMurray,T9H3Z7
4160,The Fort McMurray Roman Catholic Separate School Division,1850,Youth Assessment Centre,Fort McMurray,T9H4P3
3260,The Board of Trustees of Fort McMurray Public School Division,1858,Frank Spragins High School,Fort McMurray,T9K1A1
0293,Airdrie Petits Amis Support Services,1860,Airdrie Petits Amis Support Services,Airdrie,T4B0J6
4160,The Fort McMurray Roman Catholic Separate School Division,1871,Our Lady of the Rivers Catholic School,Fort McMurray,T9H2J5
4160,The Fort McMurray Roman Catholic Separate School Division,1873,St. Paul's Elementary School,Fort McMurray,T9H3P3
4160,The Fort McMurray Roman Catholic Separate School Division,1878,Clearwater ECS (Portable),,
4160,The Fort McMurray Roman Catholic Separate School Division,1882,St. John's ECS (Portable),,
4160,The Fort McMurray Roman Catholic Separate School Division,1885,Fr M Beauregard Education Community Centre,Fort McMurray,T9J1G7
4160,The Fort McMurray Roman Catholic Separate School Division,1887,Frank Spragins Elementary School ECS,,
9240,Northern Lakes College,1902,Northern Lakes College (Northern Region),Slave Lake,T0G2A3
8040,The Greater North Central Francophone Education Region,1907,�cole des Fondateurs,Camrose,T4V2C4
0305,The Canadian International School of Phnom Penh Limited,1917,Canadian International School of Phnom Penh,Phnom Penh,
2125,The Board of Trustees of Aspen View Public Schools,1920,Alberta Accredited School,Rochester,T0G1Z0
3020,The Edmonton School Division,1933,Michael Phair School,Edmonton,T5T4R1
2125,The Board of Trustees of Aspen View Public Schools,1938,New Pine Creek Colony,Boyle,T0A0M0
9909,ABC Head Start Society,1941,ABC Head Start Society  - La Perle,Edmonton,T5K0X9
3020,The Edmonton School Division,1950,Donald R. Getty School,Edmonton,T6W3L7
2285,The Battle River School Division,1953,Wavy Lake Colony School,Camrose,T4V0L3
9550,Norwood Child & Family Resource Centre,1958,Norwood Child and Family Services,Edmonton,T5W1N9
8040,The Greater North Central Francophone Education Region,1959,�cole Sans-Fronti�res,Lloydminster,T9V2R6
0311,Opokaa'sin Early Intervention Society,1975,Opokaa'sin Early Intervention Society,Lethbridge,T1H2A5
0053,The Chinook's Edge School Division,1980,Beacon Hill Elementary School,Sylvan Lake,T4S0M1
0319,Zhaoqing Minerva Education Investment Ltd.,1992,Minerva International School,Edmonton,T5K5E6
1085,Grande Yellowhead Public School Division,2008,Grand Trunk High School,Evansburg,T0E0T0
1085,Grande Yellowhead Public School Division,2013,Ecole Mountain View School,Hinton,T7V1T6
1085,Grande Yellowhead Public School Division,2014,Marlboro School,,
1085,Grande Yellowhead Public School Division,2017,Bryan School,Robb,T0E1X0
1085,Grande Yellowhead Public School Division,2027,The Learning Connection - Edson,Edson,T7E1S8
1085,Grande Yellowhead Public School Division,2036,Jasper Elementary School,Jasper,T0E1E0
0046,The Elk Island Catholic Separate School Division,2045,St. Nicholas Catholic School,Sherwood Park,T8A3K9
3020,The Edmonton School Division,2064,Youth Community Support Program,Edmonton,T5G0B7
3030,The Calgary School Division,2088,Kenneth D. Taylor School,Calgary,T3P0A1
1085,Grande Yellowhead Public School Division,2089,Pine Ridge School,,
9851,Lotsa Tots Early Childhood Society,2100,Lotsa Tots West Kindergarten,Red Deer,T4N5E8
2275,The Northern Gateway School Division,2108,Hilltop High School,Whitecourt,T7S1N1
1190,The Rocky View School Division,2151,Windsong Heights School,Airdrie,T4B0Y3
0212,Maria Montessori Education Centre of Calgary, Ltd.,2167,Maria Montessori School - cSPACE King Edward Location,Calgary,T2T6T7
0046,The Elk Island Catholic Separate School Division,2185,St. Isidore Learning Centre,Sherwood Park,T8H1A4
3260,The Board of Trustees of Fort McMurray Public School Division,1845,Fort McMurray Composite High School,Fort McMurray,T9H1L3
0089,Tlicho Community Services Agency,0055,Chief Jimmy Bruneau School,Behchoko,X0E0Y0
9000,Other Schools,0062,Calgary Remand & Detention Centre,Calgary,T3B5K2
9835,W C D C And Ma-Rockyview,0146,Rockyview Alliance Church ECS,Calgary,T1Y1X2
9907,The Salvation Army Children's Village,0288,The Salvation Army Children's Village - H,High River,T1V1P7
0106,Aspire Special Needs Resource Centre,0289,Aspire Special Needs Resource Centre,Red Deer,T4N1R2
9601,Lacombe ECS,0751,James S Mccormick ECS Portable,,
9640,Chestermere-Conrich ECS K,0805,Conrich Elementary School,Calgary,T2M4L5
9658,Huntington Hills Community Association,0826,Huntington Hills Community Kindergarten,Calgary,T2K6K3
9671,Red Deer Lake Comm Assoc,0841,Red Deer Lake School Portable ECS,,
9709,City of Medicine Hat,0863,Central Park School ECS,,
9709,City of Medicine Hat,0864,Crescent Heights D C ECS,,
9698,Fun N Friendly Workshop,0879,Fun'n Friendly Workshop,,
0112,Early Discoveries Childhood Services Ltd.,0992,Early Discoveries Childhood Services,Calgary,T3L2Y1
1190,The Rocky View School Division,1030,Bearspaw School,Calgary,T3L2S5
1070,The Peace River School Division,1045,Cleardale Colony School,Worsley,T0H3W0
3030,The Calgary School Division,1054,Piitoayis Family School,Calgary,T2G0V3
9211,Koinonia Christian School - Red Deer Society,5195,Koinonia Christian School (Red Deer),Red Deer,T4N4S9
0288,Amiskwaciy Cultural Society,1254,Aboriginal Head Start - St. Pius Site,Edmonton,T5L1C5
2275,The Northern Gateway School Division,1210,Valleyview Ranches Colony School,Valleyview,T0H3N0
1190,The Rocky View School Division,1261,The Hutterian Brethren Church of Rocky View,Crossfield,T0M0S0
9374,Edelweiss Preparatory School Society,1399,Edelweiss Preparatory ECS,Calgary,T2K3J5
1070,The Peace River School Division,1401,Bear Canyon School,Bear Canyon,T0H0B0
0213,Tanbridge Academy,1411,Tanbridge Academy,Calgary,T1S0V8
0241,Mount Saint Agnes Academy,1488,Mount Saint Agnes Academy,Hamilton,HMDX
9014,Maranatha Junior Academy,1491,Maranatha Junior Academy,,
1070,The Peace River School Division,1515,Cosmos School,Peace River,T0H2X0
0047,The Living Waters Catholic Separate School Division,1549,St. Mary's Outreach,Slave Lake,T0G2A1
0249,Muslim Association of Canada,1557,MAC Islamic School,Edmonton,T5M0T8
3260,The Board of Trustees of Fort McMurray Public School Division,1559,�cole McTavish Public High School,Fort McMurray,T9K0C8
0252,Kin-Dir Education Foundation,1587,Airdrie Learning Academy,Airdrie,T4B3G9
0262,Unknown Schools Authority,1650,Unknown Name - GED S2991,,
0170,The Canadian Montessori School Ltd.,1685,Canadian Montessori School North,Calgary,T2V0P6
0264,Newalta Kindergarten Services Ltd.,1699,Newalta Kindergarten,Calgary,T2R0C6
9235,Tallcree Band,1793,Chief Tallcree School North,Ft. Vermilion,T0H1N0
0339,Kee Tas Kee Now Tribal Council Education Authority,1802,Whitefish Lake First Nation School,Atikameg,T0G0C0
1280,The Northland School Division,1807,Mistassiniy School,Wabasca,T0G2K0
9234,Little Red River Board of Education,1816,Sister Gloria School,Garden River,T0H4G0
1280,The Northland School Division,1834,St. Theresa School,Wabasca,T0G2K0
1280,The Northland School Division,1837,Nose Creek School,,
1250,The Fort Vermilion School Division,1839,Zama City School,Zama City,T0H4E0
8040,The Greater North Central Francophone Education Region,1870,�cole Bor�ale,Fort McMurray,T9J1B2
4160,The Fort McMurray Roman Catholic Separate School Division,1875,Alberta Drive ECS (Portable),,
4160,The Fort McMurray Roman Catholic Separate School Division,1880,Gregoire Park II (Portable),,
4160,The Fort McMurray Roman Catholic Separate School Division,1889,Fr Beauregard Education Community Centre (Fi),,
3020,The Edmonton School Division,1936,Nellie Carlson School,Edmonton,T6R0P7
2255,The Palliser School Division,2000,Palliser Beyond Borders at Calgary,Calgary,T1Y5Z6
0013,Integro Youth Counselling Services,0016,The Skill Factory,Calgary,T3B0E4
0090,Sahtu Divisional Education Council,0042,Chief T'Selehye School,Fort Good Hope,X0E0H0
2305,The Parkland School Division,0100,Blueberry School ECS (Portable),,
9893,Ducky Lucky Integrated ECS Soc,0229,Ducky Lucky Daycare,Olds,T0M1P0
9895,Froebel Kindergarten Society of Alberta,0231,Froebel's Garden of Children,Calgary,T1Y5J1
9640,Chestermere-Conrich ECS K,0232,Indus School ECS,,
9912,Community Day Nursery,0248,Community Day Nursery,Edmonton,T5H0G3
9913,University Child Care Centre Society,0251,University Day Care Centre,Calgary,T2N1N4
9930,Soc of Our Lady Ed of Yg Child,0271,St. Anthonys School,Drumheller,T0J0Y5
9374,Edelweiss Preparatory School Society,0286,Edelweiss Preparatory School,Calgary,T2K3J6
9401,Alder Academy Early Learning Society,0297,Alder Academy,Edmonton,T5K2V4
0038,Mundare Community Charter School Association,0315,Mundare Community Charter School,Mundare,T0B3H0
0087,Beaufort Delta Divisional Education Council,0360,Helen Kalvak Elihakvik,Ulukhaktok,T0E0S0
0065,Action for Bright Children (Calgary ECS Society),0403,Action for Bright Children ECS,Calgary,T3E7J9
9518,Smoky Lake District ECS,0642,Smoky Lake ECS,Bellis,T0A1J0
9571,Winterburn Comm K Society,0710,Winterburn Kindergarten School Portable,,
9837,Rocky Mountain ECS,0715,Pioneer School ECS,,
9602,Mecca Glen ECS Society,0752,Mecca Glen School,Ponoka,T4J1P6
9760,Bassano Kindergarten Assoc,0870,Bassano Kindergarten,,
9709,City of Medicine Hat,0895,South Flats Neighborhood,,
9715,Pincher Creek & Dist EC Pgm,0906,Pincher Creek & District ECS,,
9716,Pinocchio Pl House K Ad Soc,0909,Pinocchio Playhouse Kind,,
9766,Christian K Soc of Sp Grove,0950,Spruce Grove Alliance Church ECS,Spruce Grove,T7X1W6
9780,Bigstone Band,0972,Desmarais Res School ECS,,
9785,Willow Park Christ Assoc,0976,Willow Park Baptist Christ School,,
0114,Leaps and Bounds - Society for Early Intervention Services,1001,Leaps and Bounds,Calgary,T2X3C9
0023,Third Academy International Ltd.,1005,The Third Academy - Medicine Hat,Medicine Hat,T1A6J4
0136,Excel Kindergarten Ltd.,1046,Excel Kindergarten - Simons Valley,Calgary,T2K3T4
0146,Meadow Lake School Division No 66,1085,Ernie Studer School,Loon Lake,S0M1L0
0177,The Peace Wapiti School Division,1105,Harry Balfour School,Grande Prairie,T8V6R2
2195,The Elk Island School Division,1243,Lamont Outreach Centre,Sherwood Park,T8A0Z2
8060,The East Central Francophone Education Region,2892,�cole du Sommet,St. Paul,T0A3A0
0094,Nunavut - Department of Education,0060,Kiilinik High School,Cambridge Bay - Ikaluktutiak,X0B0C0
0110,The Edmonton Catholic Separate School Division,1028,St. Oscar Romero Catholic High School,Edmonton,T5T6X3
0182,The Gray House Guild,1280,Allen Gray Continuing Care Centre,Edmonton,T6L7G1
3240,The Grande Prairie Public School Division,1372,Derek Taylor School,Grande Prairie,T8W0E9
4010,The Calgary Roman Catholic Separate School Division,1373,Our Lady of Wisdom,Chestermere,T1X0G7
2185,The St. Paul School Division,1381,Elk Point Outreach,Elk Point,T0A1A0
1045,The Horizon School Division,1422,Evergreen Colony,Taber,T1G1Z9
3030,The Calgary School Division,1463,McKenzie Towne School,Calgary,T2Z0V3
3040,The Lethbridge School Division,1465,Chinook High School,Lethbridge,T1J4A3
1070,The Peace River School Division,1504,Dixonville School,Dixonville,T0H1E0
1070,The Peace River School Division,1513,McGrath Elementary School,Peace River,T8S1R4
0161,International School of Excellence (ISE),1539,ISE South Academy,Calgary,T2J2T9
9253,The Father's House Christian Fellowship-Sturgeon County,1540,New and Living Way Academy,,
0251,Montessori Children's House Charity Foundation of Calgary,1586,Montessori Children's House Academy Ltd #1,Calgary,T2M2Z8
9827,Providence Child Development Society,1591,Providence Children's Centre - McKenzie Towne,Calgary,T2V0Z4
1220,The High Prairie School Division,1607,Prairie River Junior High School,High Prairie,T0G1E0
1220,The High Prairie School Division,1609,Jean Cote School,,
0340,Maskwacis Education Schools Commission,1629,Maskwacis Outreach School,Maskwacis,T0C1N0
9715,Pincher Creek & Dist EC Pgm,0169,St. Michaels (French) ECS,,
9930,Soc of Our Lady Ed of Yg Child,0267,Holy Spirit Academy,High River,T1V1B5
9373,Whitemud Dem Child Care Soc,0283,L Y Cairns School,Edmonton,T6J2H4
3020,The Edmonton School Division,0325,Transitions at the Y,Edmonton,T5J2J2
1190,The Rocky View School Division,0444,Bow Valley High School,Cochrane,T4C1Y8
0070,Yukon Public Schools,0472,Whitehorse Elementary School,Whitehorse,Y1A2C6
4208,The Christ the Redeemer Catholic Separate School Division,0593,Sacred Heart Academy,Strathmore,T1P1B8
9735,Bruderheim K Association,0650,Bruderheim School ECS,,
9736,Entwistle Kind Association,0651,Entwhistle School ECS (Portable),,
9539,Kitscoty and District Early Childhood Education Kindergarten,0677,Kitscoty & District Early Childhood Education Kindergarten,Kitscoty,T0B2P0
9636,Canmar K Society,0800,Canmar Kindergarten,,
9723,Tinkerbell Kindergarten The,0916,Tinkerbell Kind Priv Res,,
9629,Acme Kindergarten,0923,Acme School Portable,Acme,T0M0A0
0156,The Government of Canada as represented by Correctional Service Canada,1039,Fireweed Education Centre,Edmonton,T5S2H9
0177,The Peace Wapiti School Division,1056,Clairmont Group Home,Grande Prairie,T8V5B6
0144,Outlook School Division No.32,1072,Lucky Lake School,Lucky Lake,S0L1Z0
1045,The Horizon School Division,1129,Horizon MAP School,Vauxhall,T0K2K0
0157,Bent Arrow Society,1166,White Cloud Head Start,Edmonton,T5B0E5
0156,The Government of Canada as represented by Correctional Service Canada,1184,New Rivers Adult Learning Centre,Saskatoon,S7K3X5
0169,SCcyber E-Learning Community,1246,SCcyber E-learning Community,Calgary,T3G5W6
0094,Nunavut - Department of Education,0547,Ataguttaaluk Elementary School,Igloolik,X0A0L0
0094,Nunavut - Department of Education,0056,Nuiyak School,Sanikiluaq,X0A0W0
9795,Calgary Quest Children's Society,0104,Calgary Quest Children's Society,Calgary,T2V2M7
9507,The Peace River Kindergarten Society,0114,Springfield Elementary  (French Immersion) Portable,,
0068,Battle River School Division,0411,Marshall  School,Lloydminster,S9V0R1
9741,Trinity Ev Luth Ch of Edm,0656,Trinity Evan Lutheran Church ECS,,
9543,Londonderry Child Development Society,0681,Londonderry Child Development Society,Edmonton,T6V1J7
9643,Cochrane ECS Centre,0808,Andrew Sibald Elementary School (Portable),,
9661,ECS Marlborough Comm Kind,0830,Marlborough Elementary School Portable,,
0195,The Prairie Rose School Division,0835,Oyen ECS,Oyen,T0J2J0
9689,Vista Heights Comm Assoc,0861,Vista Heights Elementary School ECS,,
9652,Family Life Ed Council,0935,St. Michael's O N C,,
9774,Hussar Kindergarten Assoc,0966,Hussar School,Hussar,T0J1S0
0147,Eston-Elrose School Division #33,1093,Dinsmore Colony School,Dinsmore,S0L0T0
0177,The Peace Wapiti School Division,1106,Hythe Regional Junior High School,Hythe,T0H2C0
0154,Mother Earth's Children's Charter School Society,1127,Mother Earth's Children's Charter School,Warburg,T0C2T0
3240,The Grande Prairie Public School Division,1151,Grande Prairie Continuing Education,Grande Prairie,T8V2Z1
0094,Nunavut - Department of Education,0366,Umimmak School,Grise Fiord,X0A0J0
3030,The Calgary School Division,2475,North Trail High School,Calgary,T3K2S3
1250,The Fort Vermilion School Division,1317,Rainbow Lake Learning Store,Rainbow Lake,T0H2Y0
8050,The Northwest Francophone Education Region,0367,�cole Nouvelle Fronti�re,Grande Prairie,T8W0C6
9843,Bigstone Education Authority Society,2499,Bigstone Cree Nation High School,,
8040,The Greater North Central Francophone Education Region,8002,�cole P�re-Lacombe,Edmonton,T5E0X4
0284,The Southern Francophone Education Region,1364,�cole Terre des Jeunes,Calgary,T3A0C6
0093,Yellowknife Catholic Schools,0045,Ecole St. Joseph School,Yellowknife,X1A2N5
0094,Nunavut - Department of Education,0545,Alookie,Pangnirtung,X0A0R0
0180,Russian School Society,1273,Kalinka Russian School,Edmonton,T5W3P6
0181,The Edmonton Korean Language School Society,1274,Edmonton Korean Language School Society,Edmonton,T6C4N6
9288,Kainai Board of Education,1326,Kainai Alternate Academy,Stand Off,T0L1Y0
3030,The Calgary School Division,1335,Tuscany School,Calgary,T3L2T4
4208,The Christ the Redeemer Catholic Separate School Division,1375,St. Luke's Outreach Centre Okotoks,Okotoks,T1S1B4
0207,Khalsa School Calgary Educational Foundation,1383,Khalsa School Calgary Educational Foundation,Conrich,T1Z0N8
0210,Aurora Learning Foundation,1387,Aurora Learning Foundation,Sherwood Park,T8C1H5
1245,The Northern Lights School Division,1443,Journeys Learning Academy,Kikino,T0A2B0
9421,High Level Christian Education Society,1495,High Level Christian Academy,High Level,T0H1Z0
1070,The Peace River School Division,1507,Paul Rowe Junior Senior High School,Manning,T0H2M0
2285,The Battle River School Division,1555,Learning Together Outreach Program,Camrose,T4V4W7
9216,NorQuest College,1560,Norquest College (Drayton Valley),Drayton Valley,T7A1R8
0110,The Edmonton Catholic Separate School Division,1576,Alberta Accredited School,Edmonton,T5M1V4
0258,The Alberta Ballet Company,1598,Alberta Ballet School,Calgary,T2R1K7
0259,Waldorf Education Society of Edmonton,1600,Waldorf Independent School of Edmonton,Edmonton,T6E1B5
9382,Alberta Conference of 7th Day Adventist Church,1633,Prairie Adventist Christian eSchool,Lacombe,T4L2G5
3030,The Calgary School Division,1674,Nose Creek School,Calgary,T3K5W9
1190,The Rocky View School Division,1681,Herons Crossing School,Airdrie,T4B0H2
1175,The Pembina Hills School Division,1682,Vista Virtual School North,Edmonton,T5J2Y2
9016,Fahler School For Retarded,1691,Friendship Corner School,Falher,T0H1M0
0019,The Red Deer Catholic Separate School Division,1697,Father Henri Voisin,Red Deer,T4P0K3
1250,The Fort Vermilion School Division,1713,Blue Hills Community School,Buffalo Head Prairie,T0H4A0
6021,Almadina School Society,1725,Almadina Language Charter Academy, Ogden Campus,Calgary,T2C0G8
9934,Marlborough Day Nursery ECS Limited,1739,McKenzie Learning Centre,Calgary,T2C2X5
9803,Raymond Kindergarten Society,0111,Raymond Elementary School ECS,Raymond,T0K2S0
9821,Muriel Clayton Kind Assoc,0117,J R Hawkey School ECS,,
9950,Pants and Petticoats Prep Sch,0273,Pants and Petticoats Prep School,Stirling,T0K2E0
9412,The Community Association for Lasting Success,0299,Community Association for Lasting Success,Vegreville,T9C1R9
0141,Yellowhead Koinonia Christian Society,0323,Yellowhead Koinonia Christian School,Edson,T7E1N3
0090,Sahtu Divisional Education Council,0328,Ehtseo Ayha School,Deline,X0E0G0
0094,Nunavut - Department of Education,0331,Tusarvik School,Repulse Bay,X0C0H0
0067,Northern Lakes School Division,0420,Rivier School,Spiritwood,S0J2M0
0070,Yukon Public Schools,0457,Christ the King Elementary School,Whitehorse,Y1A2C6
0070,Yukon Public Schools,0458,Vanier Catholic Secondary School,Whitehorse,Y1A2C6
0099,Alberta Education,0518,Alberta Education (ASN),Edmonton,T5J5E6
4105,The Lakeland Roman Catholic Separate School Division,0530,Lakeland On Line,Cold Lake,T9M1W3
0107,Green Learning Foundation,0539,Green Learning Academy,Calgary,T2H2S5
0177,The Peace Wapiti School Division,0591,Codesa Hutterite Colony School,Eaglesham,T0H1H0
9511,Athabasca & Dist ECS Assoc,0622,Athabasca Home Program,,
9511,Athabasca & Dist ECS Assoc,0633,Rochester School ECS,,
9745,Heisler E.C.S. Association,0671,Heisler School ECS,Heisler,T0B2A0
9544,Michener Pk Child Devel Soc,0682,Vanier House ECS,,
2305,The Parkland School Division,0704,Sunchildren Kindergarten (Portable),,
9597,Hay Lakes ECS,0747,Hay Lakes School ECS,Hay Lakes,T0B1W0
9604,Penhold ECS Society,0754,Penhold School ECS,Red Deer,T4N6L4
1325,The Wild Rose School Division,0763,Rocky Mountain House Elementary School,Rocky Mountain House,T0M1T0
9631,Foothills ECS Soc,0795,Capt John Palliser School ECS,,
9655,Highwood ECS,0823,Highwood ECS Centre,High River,T1V1H1
9678,Sarcee Park Kindergarten,0848,Sir James Lougheed Elementary School,,
9680,Glamorgan Community Kindergarten Society,0850,Glamorgan Community Kindergarten Society,Calgary,T3E3W5
9709,City of Medicine Hat,0891,S E Hill Neighborhood Central,,
9729,Linden ECS Centre,0925,Dr Elliott School ECS,Acme,T0M0A0
9683,Strathmore K Association,0940,Strathmore Annex Provincial Building,,
3020,The Edmonton School Division,0018,The Academy at King Edward,Edmonton,T6E3Z4
9001,Northwest Territories - Department of Education, Culture and Employment,0048,Private Study (N.W.T.),Yellowknife,X1A2L9
9805,French Immer K Soc Red Deer,0115,Joseph Welsh School (Elementary) ECS,,
9944,SS ECS Kindergarten Assoc,0269,Mama Bear Day Care,Calgary,T2A6V3
0035,Mountain View Academy Society,0308,Mountain View Academy,Calgary,T1Y6Z8
0039,Duncan's First Nations,0316,Duncan Community School,Brownvale,T0H0L0
0040,The Timothy Centre for Scholarship Ltd.,0317,The Timothy Centre for Scholarship,Calgary,T2C3W5
2285,The Battle River School Division,0326,Battle River Online,Camrose,T4V5K4
0069,Canadian College International Institute,0422,Canadian College International,Edmonton,T5J1G4
0075,Mannawanis Native Friendship Centre,0429,Mannawanis Aboriginal Headstart Project,St. Paul,T0A3A0
0070,Yukon Public Schools,0449,St. Elias Community School,Haines,Y0B1L0
9509,Wanham Tiny Tots,0609,Wanham Community School Library ECS,Wanham,T0H3P0
9529,Dewberry Early Childhood Parents Society,0665,Dewberry School ECS,Dewberry,T0B1G0
9580,Camrose Family Life Ed Comm,0728,Camrose Fle Pre-School Centre,,
9614,Strome Kindergarten,0767,Strome School ECS,,
9695,Coalhurst Par-Child Dev Pgm,0876,Coalhurst High School ECS,,
9699,Gingerbread House Pre-Sch,0880,Assumption School ECS,,
9709,City of Medicine Hat,0897,Crescent Heights Comm Cdc I,,
9710,Milk River Public K Society,0901,Erle Rivers High School ECS,Milk River,T0K1M0
9712,North Lethbridge Pre-School,0903,Japanese United Church ECS,,
9616,The Sunshiners Pre-School Association,0964,Amisk ECS,,
9131,Calgary Academy Society,1015,Calgary Academy Collegiate,Calgary,T3H0R3
0131,Taylor University College and Seminary,1034,Taylor University College and Seminary (ASN),Edmonton,T6J4T3
0177,The Peace Wapiti School Division,1055,Alberta Accredited School,Grande Prairie,T8V7N7
0177,The Peace Wapiti School Division,1109,Teepee Creek School,Sexsmith,T0H3C0
0177,The Peace Wapiti School Division,1112,Robert W. Zahara Public School,Sexsmith,T0H3C0
0177,The Peace Wapiti School Division,1116,Grandview Colony School,County of Grande Prairie,T8X4L1
3240,The Grande Prairie Public School Division,1148,Bear Creek School,Grande Prairie,T8V2Z3
4208,The Christ the Redeemer Catholic Separate School Division,1231,Holy Cross Collegiate,Strathmore,T1P1B8
0177,The Peace Wapiti School Division,1245,Shady Lane Colony School,Wanham,T0H3P0
1250,The Fort Vermilion School Division,1136,La Crete Outreach Program,La Crete,T0H2H0
0009,FFCA Charter Academy School Society,0012,FFCA High School Campus,Calgary,T3B1C7
0016,Tween Valley Fellowship/Tween Valley Christian School,0022,Tween Valley Christian School,Taber,T1G2C7
0094,Nunavut - Department of Education,0040,Netsilik School,Taloyoak,X0B1B0
0094,Nunavut - Department of Education,0553,Maani Ulujuk Ilinniarvik,Rankin Inlet,X0C0G0
0093,Yellowknife Catholic Schools,0573,Weledeh Catholic School,Yellowknife,X1A2P2
0091,South Slave Divisional Education Council,0582,Joseph Burr Tyrrell Elementary School,Fort Smith,X0E0P0
0019,The Red Deer Catholic Separate School Division,1123,St. Francis of Assisi,Red Deer,T4R3M1
0171,Behaviour Therapy and Learning Centre Ltd.,1249,Behaviour Therapy and Learning Centre Ltd.,Calgary,T3H5P1
0019,The Red Deer Catholic Separate School Division,1272,St. Dominic High School,Rocky Mountain House,T4T1W6
0211,Aurora Learning Foundation (Calgary),1397,Aurora Learning Calgary,Calgary,T2E7N7
0217,The House Ministries of Tofield, Alberta,1417,Living Stones Christian Academy,Tofield,T0B4J0
0251,Montessori Children's House Charity Foundation of Calgary,1596,Montessori Children's House Academy Ltd #3,Calgary,T2Z3V8
3030,The Calgary School Division,1678,Twelve Mile Coulee School,Calgary,T3L0C7
4010,The Calgary Roman Catholic Separate School Division,1688,Junior High Fresh Start Outreach Program,Calgary,T2B0C6
1250,The Fort Vermilion School Division,1702,Fort Vermilion Public School,Fort Vermilion,T0H1N0
0268,Mosaic Community Development Society,1723,Mosaic Learning Institute,Calgary,T2P3G9
3050,The Medicine Hat School Division,1732,Central High School,Medicine Hat,T1A3Y6
1250,The Fort Vermilion School Division,1742,Northern Outreach Center,La Crete,T0H2H0
0278,The Renert School Foundation,1747,Renert School,Calgary,T3R0K4
0019,The Red Deer Catholic Separate School Division,1757,Smallboy Outreach School,Nordegg,T0M2H0
2255,The Palliser School Division,1772,Palliser Beyond Borders,Lethbridge,T1H5S1
0094,Nunavut - Department of Education,1774,Arctic College (Iqaluit),Iqaluit,X0A0H0
0019,The Red Deer Catholic Separate School Division,1782,Ecole Secondaire Notre Dame Summer School,Red Deer,T4R2P6
8040,The Greater North Central Francophone Education Region,1786,�cole Quatre-Saisons,Beaumont,T4X2C5
0292,Ability Society of Alberta,1788,Ability Society Edmonton,,
1250,The Fort Vermilion School Division,1791,Upper Hay River School,High Level,T0H1Z0
9247,Buffalo Head Mennonite School Society,1797,Rosenfeld School,Buffalo Head Prairie,T0H4A0
2305,The Parkland School Division,1810,Athabasca Delta Community School,Fort Chipewyan,T0P1B0
1280,The Northland School Division,1819,Imperial Mills School,,
0339,Kee Tas Kee Now Tribal Council Education Authority,1823,Little Buffalo School,Cadotte Lake,T0H0N0
1070,The Peace River School Division,1825,Menno-Simons Community School,Cleardale,T0H3Y0
1280,The Northland School Division,1827,Paddle Prairie School,Paddle Prairie,T0H2W0
1250,The Fort Vermilion School Division,1838,Steen River School,,
