SCHOOL_DISTRICT_CODE,SCHOOL_DISTRICT_NAME,SCHOOL_CODE,SCHOOL_NAME,SCHOOL_CITY,SCHOOL_POSTAL_CODE
9406,Learning Academy of Canada Ltd,7988,Learning Academy of Canada,Calgary,T2P3K7
2255,The Palliser School Division,5435,Barons School,Barons,T0L0G0
2155,The Golden Hills School Division,5606,Britestone Hutterite Colony,Strathmore,T1P1J4
2155,The Golden Hills School Division,5728,East End Elementary School,,
0195,The Prairie Rose School Division,5902,Shamrock Colony School,Bow Island,T0K0G0
9200,Rocky View Mennonite Church,6192,Rockyview Christian School,Pincher Creek,T0K1W0
0056,The Westwind School Division,6220,Rockport Colony School,Cardston,T0K0K0
1135,The Livingstone Range School Division,6303,H T Coutts School,,
9356,Little Pony Private Institute of Fine Arts,6392,Little Pony Private Institute,Fort Macleod,T0L0Z0
2255,The Palliser School Division,6420,Allenby Colony,Lethbridge,T1H5S1
2255,The Palliser School Division,6421,Gold Ridge Colony School,Lethbridge,T1H5S1
2255,The Palliser School Division,6425,McMan School,Picture Butte,T0K1V0
2255,The Palliser School Division,6427,Palliser Home Education School,Lethbridge,T1H5S1
3040,The Lethbridge School Division,6440,General Stewart School,Lethbridge,T1J3X6
3040,The Lethbridge School Division,6444,Lakeview Elementary School,Lethbridge,T1K3B6
9117,Lethbridge Community College,6490,Lethbridge Community College,Lethbridge,T1K1L6
1045,The Horizon School Division,6501,Coutts Community School,Coutts,T0K0N0
1045,The Horizon School Division,6504,Milk River Elementary School,Milk River,T0K1M0
1045,The Horizon School Division,6606,W. R. Myers High School,Taber,T1G1L5
1045,The Horizon School Division,6607,Taber Central School,Taber,T1G1L5
1045,The Horizon School Division,6609,L.T. Westlake School,Taber,T1G1B6
1045,The Horizon School Division,6612,Vauxhall Elementary School,Vauxhall,T0K2K0
2045,The Grasslands School Division,6707,Jenny Lind School,,
2045,The Grasslands School Division,6712,Newell Colony School,Bassano,T0J0B0
0195,The Prairie Rose School Division,6802,Buffalo School,Buffalo Head Prairie,T0J0K0
0195,The Prairie Rose School Division,6809,Hutterian Brethren Church School of Elkwater,Medicine Hat,T1B0K3
0195,The Prairie Rose School Division,6810,Jenner Colony School,Jenner,T0J1W0
9073,Medicine Hat College,6890,Medicine Hat College,Medicine Hat,T1A3Y6
0195,The Prairie Rose School Division,6907,Foremost School,Foremost,T0K0X0
3020,The Edmonton School Division,7064,T D Baker School,,
3020,The Edmonton School Division,7103,Argyll School,Edmonton,T6E0R6
3020,The Edmonton School Division,7104,Athlone School,Edmonton,T5L1J3
3020,The Edmonton School Division,7106,Beacon Heights School,Edmonton,T5W1M8
3020,The Edmonton School Division,7155,North Edmonton School,Edmonton,T5C1S7
3020,The Edmonton School Division,7164,Queen Alexandra School,Edmonton,T6E4W3
3020,The Edmonton School Division,7207,James Gibbons School,Edmonton,T5R1P1
3020,The Edmonton School Division,7209,Mayfield School,Edmonton,T5P3C1
3020,The Edmonton School Division,7211,Rio Terrace Elementary School,Edmonton,T5R1R7
3020,The Edmonton School Division,7223,Malcolm Tweddle School,Edmonton,T6K1Y9
3020,The Edmonton School Division,7225,Caernarvon School,Edmonton,T5X1T4
3020,The Edmonton School Division,7266,Blue Quill Elementary School,Edmonton,
3020,The Edmonton School Division,7267,LaPerle School,Edmonton,T5T4C1
3020,The Edmonton School Division,7268,Beaumaris Elementary School,Edmonton,
3020,The Edmonton School Division,7270,Tipaskan School,Edmonton,T6K4A3
9709,City of Medicine Hat,0108,Harry Veiner Building ECS II,,
9809,Clandonald Early Childhood Services,0121,Clandonald Public School ECS,Clandonald,T0B0X0
9811,Irricana E.C.S. Society,0123,Irricana Community Hall ECS,Irricana,T0M1B0
9833,Cessford ECS Society,0142,Cessford ECS Centre,Duchess,T0J0Z0
9765,La Maternelle Des Amis,0145,Stony Plain Elementary ECS Portable,,
9903,Rimbey Montessori Society,0240,Rimbey Montessori Nursery Sch,Rimbey,T0C2J0
0092,Yellowknife District No. 1 Education Authority,0399,Range Lake North School,Yellowknife,X1A3R1
0067,Northern Lakes School Division,0414,Glaslyn Central School,Spiritwood,S0J2M0
0081,St. James Lutheran Church of Whitecourt,0476,St. James Lutheran School.,Whitecourt,T7S1H4
9117,Lethbridge Community College,0506,Lethbridge Community College (ASN),Edmonton,T5K0L2
9012,French Can Society Calgary,0584,French Can Society Calgary,,
4010,The Calgary Roman Catholic Separate School Division,0588,St. Elizabeth Seton,Calgary,T3A6K3
9510,West Central Pre-School Soc,0614,Harry Balfour School,,
9514,Ft Chipewyan Pre-Sch Soc,0637,New Start ECS (Portable),,
9537,Graminia Kindergarten,0675,Graminia Community Hall ECS,,
9570,Winfield Child Development Association,0709,Winfield School ECS,Winfield,T0C2X0
2285,The Battle River School Division,0722,Bashaw Early Learning Centre,Bashaw,T0B0H0
9632,Calgary French & International School Society,0796,Calgary French & International School,Calgary,T3H5R1
9684,Sundre ECS,0854,E W Miller School ECS,Sundre,T0M1X0
9759,Rosemary ECS Society,0869,Rosemary School ECS,Rosemary,T0J2W0
9709,City of Medicine Hat,0893,Ross Glen Community ECS Centre I,,
0130,Nazarene University College,1036,Nazarene University College (ASN),Edmonton,T5J5E6
9304,Wilson Prairie Mennonite School Society,1195,Wilson Prairie Mennonite School,La Crete,T0H2H0
0020,The St. Thomas Aquinas Roman Catholic Separate School Division,1235,St. Augustine School_CLOSED,Ponoka,T4J1N6
0094,Nunavut - Department of Education,0058,Inuujaq School,Arctic Bay,X0A0A0
2485,Fusion Education Association,2486,Fusion Collegiate,,
1250,The Fort Vermilion School Division,2349,At-Home Learning Centre,High Level,T0H1Z0
8060,The East Central Francophone Education Region,2985,�cole Voyageur,Cold Lake,T9M2E6
0284,The Southern Francophone Education Region,1297,�cole Beausoleil,Okotoks,T1S0P5
0288,Amiskwaciy Cultural Society,0528,Aboriginal Head Start - St. Francis Site,Edmonton,T5C1V7
9354,Cleardale Mennonite School Society,1197,Cleardale Mennonite School,Cleardale,T0H3Y0
