REGISTRATION_SCHOOL_CODE,REGISTRATION_SCHOOL_YEAR,REGISTRATION_ASN,REGISTRATION_START_DATE,REGISTRATION_EXIT_DATE
1203,2022,041277543,31-AUG-21,28-JUN-22
1112,2023,045789717,31-AUG-22,27-JUN-23
1108,2022,010289941,31-AUG-21,28-JUN-22
1113,2022,039227161,31-AUG-21,28-JUN-22
2078,2022,025650186,31-AUG-21,28-JUN-22
1115,2022,000243270,31-AUG-21,28-JUN-22
0590,2023,044328178,31-AUG-22,27-JUN-23
1105,2023,028248723,31-AUG-22,27-JUN-23
1103,2023,031509319,31-AUG-22,27-JUN-23
1102,2022,022768007,31-AUG-21,28-JUN-22
1304,2022,051246693,31-AUG-21,28-JUN-22
1103,2022,039147450,31-AUG-21,28-JUN-22
1107,2022,035340182,31-AUG-21,28-JUN-22
1103,2023,018373762,31-AUG-22,27-JUN-23
1102,2023,045296911,31-AUG-22,27-JUN-23
1115,2022,003683910,31-AUG-21,28-JUN-22
2078,2023,042350554,31-AUG-22,27-JUN-23
1105,2023,012739786,31-AUG-22,27-JUN-23
2078,2022,002720135,31-AUG-21,28-JUN-22
1104,2023,000044348,31-AUG-22,27-JUN-23
1424,2022,044892884,31-AUG-21,28-JUN-22
1105,2023,031418461,31-AUG-22,27-JUN-23
1108,2022,001261651,31-AUG-21,28-JUN-22
2078,2023,034596412,31-AUG-22,27-JUN-23
1109,2022,018055039,31-AUG-21,28-JUN-22
1109,2023,018055039,31-AUG-22,27-JUN-23
1424,2023,044535418,31-AUG-22,27-JUN-23
1115,2023,052273209,31-AUG-22,27-JUN-23
1112,2023,009089633,31-AUG-22,27-JUN-23
1108,2022,003264265,31-AUG-21,28-JUN-22
1108,2023,003264265,31-AUG-22,27-JUN-23
0590,2023,009914517,31-AUG-22,27-JUN-23
1203,2023,044753243,31-AUG-22,27-JUN-23
1101,2023,038361789,31-AUG-22,27-JUN-23
1105,2023,048972823,31-AUG-22,27-JUN-23
1105,2022,049696421,31-AUG-21,28-JUN-22
1112,2023,037025187,31-AUG-22,27-JUN-23
1112,2022,033278863,31-AUG-21,28-JUN-22
1101,2022,043914911,31-AUG-21,28-JUN-22
1135,2023,048940218,31-AUG-22,27-JUN-23
1424,2022,026237843,31-AUG-21,28-JUN-22
2078,2022,027402271,31-AUG-21,28-JUN-22
1101,2022,017517328,31-AUG-21,28-JUN-22
1311,2022,016359821,31-AUG-21,28-JUN-22
1112,2022,008879612,31-AUG-21,28-JUN-22
1113,2022,034770371,31-AUG-21,28-JUN-22
2078,2022,027218529,31-AUG-21,28-JUN-22
1424,2022,009644619,31-AUG-21,28-JUN-22
1203,2023,044531961,31-AUG-22,27-JUN-23
1203,2022,007530935,31-AUG-21,28-JUN-22
1115,2023,049553309,31-AUG-22,27-JUN-23
0590,2023,010047638,31-AUG-22,27-JUN-23
1424,2022,001130831,31-AUG-21,28-JUN-22
2078,2023,018317611,31-AUG-22,27-JUN-23
0590,2023,041202947,31-AUG-22,27-JUN-23
0590,2023,049332266,31-AUG-22,27-JUN-23
1115,2022,041078149,31-AUG-21,28-JUN-22
1105,2023,040331879,31-AUG-22,27-JUN-23
1108,2023,015659809,31-AUG-22,27-JUN-23
1109,2023,046185295,31-AUG-22,27-JUN-23
1108,2023,040133713,31-AUG-22,27-JUN-23
1101,2023,045821544,31-AUG-22,27-JUN-23
1105,2022,033928319,31-AUG-21,28-JUN-22
1108,2023,040510985,31-AUG-22,27-JUN-23
1135,2022,027740878,31-AUG-21,28-JUN-22
1105,2022,008344526,31-AUG-21,28-JUN-22
1203,2023,017627010,31-AUG-22,27-JUN-23
2078,2023,028768274,31-AUG-22,27-JUN-23
2078,2024,016989411,05-SEP-23,26-JUN-24
1101,2024,045464824,05-SEP-23,26-JUN-24
1108,2024,022492061,05-SEP-23,26-JUN-24
2078,2024,049972434,05-SEP-23,26-JUN-24
1135,2024,033932600,05-SEP-23,26-JUN-24
1101,2024,008298961,05-SEP-23,26-JUN-24
1108,2024,029566834,05-SEP-23,26-JUN-24
1102,2024,005560702,05-SEP-23,26-JUN-24
1102,2024,012199445,05-SEP-23,26-JUN-24
1109,2024,050455386,05-SEP-23,26-JUN-24
0590,2024,013505525,05-SEP-23,26-JUN-24
1203,2024,022766811,05-SEP-23,26-JUN-24
1108,2024,006051180,05-SEP-23,26-JUN-24
1108,2024,031017826,05-SEP-23,26-JUN-24
1109,2024,037690089,05-SEP-23,26-JUN-24
2078,2024,010558642,05-SEP-23,26-JUN-24
1108,2024,047720355,05-SEP-23,26-JUN-24
0590,2024,051376904,05-SEP-23,26-JUN-24
1306,2024,041095218,05-SEP-23,26-JUN-24
1109,2024,037417699,05-SEP-23,26-JUN-24
1115,2024,042314006,05-SEP-23,26-JUN-24
1305,2024,003601888,05-SEP-23,26-JUN-24
0590,2024,024248313,05-SEP-23,26-JUN-24
1424,2024,000118019,05-SEP-23,26-JUN-24
1105,2024,021085791,05-SEP-23,26-JUN-24
1105,2024,019767327,05-SEP-23,26-JUN-24
1112,2024,036469311,05-SEP-23,26-JUN-24
1306,2024,000056144,05-SEP-23,26-JUN-24
2239,2024,017970410,05-SEP-23,26-JUN-24
1108,2024,000242579,05-SEP-23,26-JUN-24
1101,2024,038505039,05-SEP-23,26-JUN-24
1306,2024,051246693,05-SEP-23,26-JUN-24
2078,2024,041359309,05-SEP-23,26-JUN-24
0590,2024,006416474,05-SEP-23,26-JUN-24
0590,2024,013719563,05-SEP-23,26-JUN-24
1103,2024,005109336,05-SEP-23,26-JUN-24
1424,2024,046218872,05-SEP-23,26-JUN-24
1135,2024,031350433,05-SEP-23,26-JUN-24
1108,2024,002785831,05-SEP-23,26-JUN-24
1424,2024,044535418,05-SEP-23,26-JUN-24
0590,2024,001253757,05-SEP-23,26-JUN-24
0590,2024,043870204,05-SEP-23,26-JUN-24
1112,2024,048603246,05-SEP-23,26-JUN-24
1102,2024,049721815,05-SEP-23,26-JUN-24
1113,2024,021528196,05-SEP-23,26-JUN-24
1105,2024,045563617,05-SEP-23,26-JUN-24
1306,2024,037339034,05-SEP-23,26-JUN-24
1108,2024,019882050,05-SEP-23,26-JUN-24
1424,2024,052748804,05-SEP-23,26-JUN-24
1306,2024,051352244,05-SEP-23,26-JUN-24
1101,2024,045574465,05-SEP-23,26-JUN-24
2239,2024,024675671,05-SEP-23,26-JUN-24
1101,2024,043296269,05-SEP-23,26-JUN-24
2078,2024,031876239,05-SEP-23,26-JUN-24
1103,2024,022535984,05-SEP-23,26-JUN-24
2078,2024,032846652,05-SEP-23,26-JUN-24
1105,2024,012476116,05-SEP-23,26-JUN-24
1108,2024,020683695,05-SEP-23,26-JUN-24
1101,2024,018556390,05-SEP-23,26-JUN-24
1109,2024,030750765,05-SEP-23,26-JUN-24
1113,2024,010659341,05-SEP-23,26-JUN-24
1115,2024,044836030,05-SEP-23,26-JUN-24
1306,2024,005611067,05-SEP-23,30-JAN-24
1111,2024,030228309,05-SEP-23,26-JUN-24
0590,2024,011110831,05-SEP-23,26-JUN-24
1108,2024,003145324,05-SEP-23,26-JUN-24
1113,2024,036865476,05-SEP-23,26-JUN-24
1103,2024,010890300,05-SEP-23,26-JUN-24
0590,2024,046320744,05-SEP-23,26-JUN-24
2078,2024,022186549,05-SEP-23,26-JUN-24
1101,2024,034612656,05-SEP-23,26-JUN-24
1105,2024,014292891,05-SEP-23,26-JUN-24
1113,2024,010327774,05-SEP-23,26-JUN-24
1105,2024,001506428,05-SEP-23,26-JUN-24
1424,2024,030368287,05-SEP-23,26-JUN-24
1101,2024,016462765,05-SEP-23,26-JUN-24
1112,2024,052191872,05-SEP-23,26-JUN-24
1424,2024,050703157,05-SEP-23,26-JUN-24
1102,2024,050386409,05-SEP-23,26-JUN-24
1306,2024,038650819,05-SEP-23,26-JUN-24
1112,2024,013114195,05-SEP-23,26-JUN-24
1112,2024,043039586,05-SEP-23,26-JUN-24
1112,2024,003070001,05-SEP-23,26-JUN-24
1107,2024,031756530,05-SEP-23,26-JUN-24
2078,2024,017446130,05-SEP-23,26-JUN-24
1102,2024,000623687,05-SEP-23,26-JUN-24
2078,2024,032115025,05-SEP-23,26-JUN-24
1112,2024,047140711,05-SEP-23,26-JUN-24
1102,2024,003855344,05-SEP-23,26-JUN-24
1424,2024,017014961,05-SEP-23,13-SEP-23
1424,2024,045492601,05-SEP-23,26-JUN-24
2078,2024,046034881,05-SEP-23,26-JUN-24
1111,2024,012993474,05-SEP-23,26-JUN-24
2078,2024,028728492,05-SEP-23,26-JUN-24
1109,2024,040348808,05-SEP-23,26-JUN-24
1105,2024,044437193,05-SEP-23,26-JUN-24
1203,2024,049919443,05-SEP-23,26-JUN-24
1109,2024,045802585,05-SEP-23,26-JUN-24
1111,2024,028312651,05-SEP-23,26-JUN-24
1112,2024,039524542,05-SEP-23,26-JUN-24
1203,2024,024541568,06-NOV-23,26-JUN-24
0590,2024,052291219,05-SEP-23,26-JUN-24
1105,2024,028347418,05-SEP-23,26-JUN-24
1103,2024,017679367,05-SEP-23,26-JUN-24
1102,2024,029437200,05-SEP-23,26-JUN-24
2078,2024,036569060,05-SEP-23,26-JUN-24
0590,2024,012981701,05-SEP-23,26-JUN-24
2078,2024,014740337,05-SEP-23,26-JUN-24
1103,2024,050209601,05-SEP-23,26-JUN-24
1113,2024,018343872,05-SEP-23,26-JUN-24
1303,2024,035708339,05-SEP-23,26-JUN-24
1108,2024,030013529,05-SEP-23,26-JUN-24
1103,2024,006463179,05-SEP-23,26-JUN-24
1104,2024,023782064,05-SEP-23,26-JUN-24
1424,2024,030491246,05-SEP-23,26-JUN-24
1101,2024,046529401,05-SEP-23,26-JUN-24
1306,2024,027086546,05-SEP-23,26-JUN-24
1112,2024,010742402,05-SEP-23,26-JUN-24
1135,2024,051249697,05-SEP-23,26-JUN-24
1104,2024,046087640,05-SEP-23,26-JUN-24
1105,2024,011529857,05-SEP-23,26-JUN-24
1103,2024,010697846,05-SEP-23,26-JUN-24
0590,2024,017591646,05-SEP-23,26-JUN-24
1112,2024,017195802,05-SEP-23,26-JUN-24
0590,2024,030643747,05-SEP-23,26-JUN-24
1108,2024,046097466,05-SEP-23,26-JUN-24
1306,2024,033297426,05-SEP-23,26-JUN-24
2078,2024,003110286,05-SEP-23,26-JUN-24
2078,2024,052879880,05-SEP-23,26-JUN-24
1112,2024,040172208,05-SEP-23,26-JUN-24
1104,2024,013279329,05-SEP-23,26-JUN-24
1115,2024,004957313,05-SEP-23,26-JUN-24
1135,2024,034858762,05-SEP-23,26-JUN-24
2078,2024,011808210,05-SEP-23,26-JUN-24
1203,2024,015430680,05-SEP-23,26-JUN-24
1108,2024,028131606,05-SEP-23,26-JUN-24
2078,2024,002720135,05-SEP-23,26-JUN-24
1105,2024,012739786,05-SEP-23,26-JUN-24
1101,2024,051858455,05-SEP-23,26-JUN-24
1305,2024,013900858,05-SEP-23,26-JUN-24
1111,2024,016555733,05-SEP-23,26-JUN-24
1115,2024,010152362,05-SEP-23,26-JUN-24
1111,2024,028479799,05-SEP-23,26-JUN-24
1135,2024,045420230,05-SEP-23,26-JUN-24
1102,2024,050934646,05-SEP-23,16-OCT-23
1105,2024,040147143,05-SEP-23,26-JUN-24
1108,2024,013810891,05-SEP-23,26-JUN-24
1108,2024,010183623,05-SEP-23,26-JUN-24
1107,2024,016479546,05-SEP-23,26-JUN-24
1115,2024,017706152,05-SEP-23,26-JUN-24
1101,2024,022805262,05-SEP-23,26-JUN-24
1305,2024,052360204,05-SEP-23,26-JUN-24
0590,2024,001158550,05-SEP-23,26-JUN-24
1105,2024,043869693,05-SEP-23,26-JUN-24
1103,2024,031258214,05-SEP-23,26-JUN-24
1306,2024,005050043,05-SEP-23,26-JUN-24
1424,2024,022290366,05-SEP-23,26-JUN-24
1115,2024,002921675,05-SEP-23,26-JUN-24
1108,2024,050857342,05-SEP-23,26-JUN-24
0590,2024,005117719,05-SEP-23,26-JUN-24
1105,2024,006077839,05-SEP-23,26-JUN-24
2078,2024,004346574,05-SEP-23,26-JUN-24
1424,2024,042813650,05-SEP-23,26-JUN-24
1107,2024,046044138,05-SEP-23,26-JUN-24
1107,2024,048651922,05-SEP-23,26-JUN-24
1306,2024,019009860,05-SEP-23,26-JUN-24
2078,2024,014607775,05-SEP-23,26-JUN-24
1108,2024,012556214,05-SEP-23,26-JUN-24
2078,2024,013416681,05-SEP-23,26-JUN-24
1112,2024,035959429,05-SEP-23,26-JUN-24
0319,2024,026406596,05-SEP-23,26-JUN-24
1105,2024,031279574,05-SEP-23,26-JUN-24
0590,2024,043742833,05-SEP-23,30-JAN-24
1103,2024,040129646,05-SEP-23,26-JUN-24
1304,2024,042320201,05-SEP-23,26-JUN-24
0590,2024,034974080,05-SEP-23,26-JUN-24
1111,2024,032946478,05-SEP-23,26-JUN-24
1203,2024,023486054,05-SEP-23,26-JUN-24
0590,2024,044347681,05-SEP-23,26-JUN-24
2078,2024,021518965,05-SEP-23,26-JUN-24
0590,2024,051113497,05-SEP-23,26-JUN-24
0319,2024,036939073,05-SEP-23,26-JUN-24
1135,2024,045622280,05-SEP-23,26-JUN-24
1109,2024,022204763,05-SEP-23,26-JUN-24
1113,2024,015033898,05-SEP-23,26-JUN-24
1108,2024,050578799,05-SEP-23,26-JUN-24
0590,2024,006881289,05-SEP-23,26-JUN-24
1102,2024,043723460,05-SEP-23,26-JUN-24
0590,2024,011632990,05-SEP-23,26-JUN-24
0590,2024,012341492,05-SEP-23,26-JUN-24
1424,2024,043166264,05-SEP-23,26-JUN-24
1111,2024,009031569,05-SEP-23,26-JUN-24
1101,2024,007947691,05-SEP-23,26-JUN-24
1101,2024,029199446,05-SEP-23,26-JUN-24
2239,2024,005495404,05-SEP-23,26-JUN-24
1105,2024,000660051,05-SEP-23,26-JUN-24
1112,2024,021282836,05-SEP-23,26-JUN-24
1203,2024,023647762,05-SEP-23,26-JUN-24
1115,2024,045276079,05-SEP-23,26-JUN-24
1305,2024,014247549,05-SEP-23,26-JUN-24
1103,2024,038951472,05-SEP-23,26-JUN-24
1135,2024,013431839,05-SEP-23,26-JUN-24
1107,2024,019022889,05-SEP-23,26-JUN-24
1115,2024,050617944,05-SEP-23,26-JUN-24
1203,2024,007516991,05-SEP-23,26-JUN-24
1203,2024,051201177,05-SEP-23,26-JUN-24
0590,2024,025120271,05-SEP-23,26-JUN-24
0590,2024,022729983,05-SEP-23,26-JUN-24
1105,2024,013857447,05-SEP-23,26-JUN-24
1303,2024,039900650,05-SEP-23,26-JUN-24
0590,2024,047155875,05-SEP-23,26-JUN-24
1108,2024,023795884,05-SEP-23,26-JUN-24
2078,2024,009463317,05-SEP-23,26-JUN-24
1305,2024,006073713,05-SEP-23,26-JUN-24
1113,2024,043275750,05-SEP-23,26-JUN-24
1632,2024,027519744,01-SEP-23,26-JUN-24
1306,2024,025627978,05-SEP-23,26-JUN-24
1306,2024,037551588,05-SEP-23,26-JUN-24
2239,2024,016417637,05-SEP-23,26-JUN-24
1108,2024,035890376,05-SEP-23,26-JUN-24
1103,2024,036361179,05-SEP-23,26-JUN-24
1112,2024,049636963,05-SEP-23,26-JUN-24
0590,2024,022038427,05-SEP-23,26-JUN-24
1306,2024,010073717,05-SEP-23,26-JUN-24
1107,2024,004515368,05-SEP-23,26-JUN-24
1103,2024,038777109,05-SEP-23,26-JUN-24
1203,2024,044370964,05-SEP-23,26-JUN-24
1102,2024,000443763,05-SEP-23,26-JUN-24
1107,2024,036471986,05-SEP-23,26-JUN-24
1108,2024,014353768,05-SEP-23,26-JUN-24
1305,2024,026359308,05-SEP-23,26-JUN-24
0590,2024,010677301,05-SEP-23,26-JUN-24
1102,2024,020134491,05-SEP-23,26-JUN-24
1102,2024,027903666,05-SEP-23,26-JUN-24
1303,2024,020801040,05-SEP-23,26-JUN-24
1101,2024,007254528,05-SEP-23,26-JUN-24
1135,2024,001256362,05-SEP-23,26-JUN-24
1245,2024,042755620,01-SEP-23,26-JUN-24
1311,2024,028640234,01-SEP-23,26-JUN-24
1311,2024,016359821,01-SEP-23,26-JUN-24
0590,2024,023750277,05-SEP-23,26-JUN-24
1135,2024,014075817,05-SEP-23,26-JUN-24
2078,2024,051281476,05-SEP-23,26-JUN-24
1306,2024,009846198,05-SEP-23,26-JUN-24
1102,2024,028652312,05-SEP-23,26-JUN-24
1105,2024,051328681,05-SEP-23,26-JUN-24
1105,2024,043975722,05-SEP-23,26-JUN-24
1306,2024,005417275,05-SEP-23,26-JUN-24
1105,2024,019230649,05-SEP-23,26-JUN-24
1424,2024,002268242,05-SEP-23,26-JUN-24
1424,2024,008689508,05-SEP-23,26-JUN-24
1203,2024,051779750,05-SEP-23,26-JUN-24
1302,2024,013042255,05-SEP-23,26-JUN-24
1101,2024,042907304,05-SEP-23,26-JUN-24
2078,2024,023140156,05-SEP-23,26-JUN-24
1632,2024,016152168,01-SEP-23,26-JUN-24
0590,2024,038526316,05-SEP-23,26-JUN-24
1209,2024,017308926,01-SEP-23,26-JUN-24
1209,2024,004352713,01-SEP-23,26-JUN-24
1209,2024,044373836,01-SEP-23,26-JUN-24
1209,2024,052172443,01-SEP-23,26-JUN-24
1209,2024,032825656,01-SEP-23,26-JUN-24
1311,2024,009336026,01-SEP-23,26-JUN-24
0590,2024,015021968,05-SEP-23,26-JUN-24
1302,2024,008518699,05-SEP-23,26-JUN-24
1424,2024,019038190,05-SEP-23,26-JUN-24
1305,2024,046872751,05-SEP-23,26-JUN-24
1102,2024,024596679,05-SEP-23,26-JUN-24
1105,2024,008027857,05-SEP-23,26-JUN-24
1424,2024,033901233,05-SEP-23,26-JUN-24
2078,2024,045355642,05-SEP-23,26-JUN-24
1101,2024,038689221,05-SEP-23,26-JUN-24
1305,2024,046246279,05-SEP-23,26-JUN-24
1424,2024,031451744,05-SEP-23,26-JUN-24
1105,2024,036023092,05-SEP-23,26-JUN-24
2078,2024,005582631,05-SEP-23,26-JUN-24
1424,2024,050232777,05-SEP-23,26-JUN-24
1105,2024,024986987,05-SEP-23,26-JUN-24
1108,2024,000916347,05-SEP-23,26-JUN-24
1468,2024,000142837,01-SEP-23,26-JUN-24
1468,2024,049317366,01-SEP-23,26-JUN-24
1468,2024,047563995,01-SEP-23,26-JUN-24
1468,2024,015203038,01-SEP-23,26-JUN-24
1468,2024,005066486,01-SEP-23,26-JUN-24
1135,2024,011493302,05-SEP-23,26-JUN-24
0590,2024,041833535,05-SEP-23,26-JUN-24
1302,2024,034701202,05-SEP-23,26-JUN-24
2078,2024,035346338,05-SEP-23,26-JUN-24
1103,2024,010098037,05-SEP-23,26-JUN-24
1108,2024,019470831,05-SEP-23,26-JUN-24
1108,2024,009405425,05-SEP-23,26-JUN-24
1632,2024,010305457,01-SEP-23,15-FEB-24
1101,2024,003316305,05-SEP-23,26-JUN-24
1424,2024,007443964,05-SEP-23,26-JUN-24
1112,2024,007182653,05-SEP-23,26-JUN-24
1112,2024,028440858,05-SEP-23,26-JUN-24
1112,2024,009369639,05-SEP-23,26-JUN-24
0319,2024,041785180,05-SEP-23,26-JUN-24
1424,2024,043041319,05-SEP-23,26-JUN-24
1108,2024,026996638,05-SEP-23,26-JUN-24
1102,2024,010397603,05-SEP-23,26-JUN-24
1113,2024,031536114,05-SEP-23,26-JUN-24
1108,2024,049555031,05-SEP-23,26-JUN-24
2239,2024,041968810,05-SEP-23,26-JUN-24
1112,2024,043165514,05-SEP-23,26-JUN-24
1135,2024,038727419,05-SEP-23,26-JUN-24
1424,2024,045269850,06-SEP-23,26-JUN-24
2078,2024,030368576,05-SEP-23,26-JUN-24
1424,2024,041574923,05-SEP-23,26-JUN-24
1302,2024,008925464,05-SEP-23,26-JUN-24
2239,2024,031854574,12-SEP-23,26-JUN-24
2239,2024,034949637,12-SEP-23,26-JUN-24
2239,2024,003528214,13-SEP-23,26-JUN-24
2239,2024,050206755,13-SEP-23,26-JUN-24
2239,2024,000994484,19-SEP-23,26-JUN-24
1113,2024,019143420,22-SEP-23,26-JUN-24
0590,2024,047933123,22-SEP-23,13-NOV-23
1302,2024,024616543,29-SEP-23,26-JUN-24
1102,2024,043948083,11-OCT-23,26-JUN-24
2239,2024,048701651,10-OCT-23,26-JUN-24
2239,2024,041163107,31-JAN-24,26-JUN-24
1203,2022,003280873,31-AUG-21,28-JUN-22
1112,2023,020428687,31-AUG-22,27-JUN-23
1105,2023,013523270,31-AUG-22,27-JUN-23
1113,2023,014381181,31-AUG-22,27-JUN-23
2078,2023,028728492,31-AUG-22,27-JUN-23
1105,2022,003293256,31-AUG-21,28-JUN-22
2078,2023,044068154,31-AUG-22,27-JUN-23
1101,2022,023883219,31-AUG-21,28-JUN-22
1107,2023,033740128,31-AUG-22,27-JUN-23
1107,2023,018014507,31-AUG-22,27-JUN-23
1105,2022,029927697,31-AUG-21,28-JUN-22
1108,2023,049536908,31-AUG-22,27-JUN-23
2078,2022,005865887,31-AUG-21,28-JUN-22
2078,2022,021112140,31-AUG-21,28-JUN-22
2078,2022,011363414,31-AUG-21,28-JUN-22
2078,2022,046750429,31-AUG-21,28-JUN-22
1115,2023,046071925,31-AUG-22,27-JUN-23
1203,2023,006568423,31-AUG-22,27-JUN-23
1108,2023,051681840,31-AUG-22,27-JUN-23
1115,2022,049721815,31-AUG-21,28-JUN-22
1115,2022,009072845,31-AUG-21,28-JUN-22
1108,2022,042913005,31-AUG-21,28-JUN-22
1108,2022,021483608,31-AUG-21,28-JUN-22
2078,2022,034270760,31-AUG-21,28-JUN-22
1109,2023,045802585,31-AUG-22,27-JUN-23
1306,2022,038379724,31-AUG-21,28-JUN-22
1103,2022,040965635,31-AUG-21,28-JUN-22
1424,2022,001202010,31-AUG-21,28-JUN-22
2078,2023,017408213,31-AUG-22,27-JUN-23
2078,2023,012929601,31-AUG-22,27-JUN-23
1101,2023,006256730,31-AUG-22,27-JUN-23
1105,2022,052249944,31-AUG-21,23-DEC-21
1135,2023,030575519,31-AUG-22,27-JUN-23
1112,2022,039101127,31-AUG-21,28-JUN-22
2078,2023,013639415,31-AUG-22,27-JUN-23
1424,2023,024381502,31-AUG-22,27-JUN-23
1424,2023,047518676,31-AUG-22,27-JUN-23
2078,2022,028595263,31-AUG-21,28-JUN-22
1105,2022,035981589,31-AUG-21,28-JUN-22
1112,2023,008164544,31-AUG-22,27-JUN-23
1112,2023,037300705,31-AUG-22,27-JUN-23
1102,2023,008119738,31-AUG-22,27-JUN-23
1112,2023,052712685,31-AUG-22,27-JUN-23
0590,2023,039153342,31-AUG-22,27-JUN-23
1112,2023,047920914,31-AUG-22,27-JUN-23
1424,2022,004627841,31-AUG-21,28-JUN-22
1108,2023,046763224,31-AUG-22,27-JUN-23
1306,2023,043976530,31-AUG-22,27-JUN-23
1424,2023,006170204,31-AUG-22,27-JUN-23
1107,2022,016142342,31-AUG-21,28-JUN-22
1112,2023,015629257,31-AUG-22,27-JUN-23
1203,2023,022766811,31-AUG-22,27-JUN-23
1109,2023,009779571,31-AUG-22,27-JUN-23
1108,2023,031017826,31-AUG-22,27-JUN-23
1112,2023,011323590,31-AUG-22,27-JUN-23
1135,2023,016054596,31-AUG-22,27-JUN-23
1103,2022,020909876,31-AUG-21,28-JUN-22
2078,2022,008841265,31-AUG-21,28-JUN-22
1112,2023,051520311,31-AUG-22,27-JUN-23
1108,2023,034841057,31-AUG-22,27-JUN-23
1105,2022,051759968,31-AUG-21,28-JUN-22
1108,2022,029747699,31-AUG-21,28-JUN-22
1108,2022,034841057,31-AUG-21,28-JUN-22
1135,2023,032823420,31-AUG-22,27-JUN-23
1135,2023,031351845,31-AUG-22,27-JUN-23
1115,2023,034136748,31-AUG-22,27-JUN-23
1111,2023,044725647,31-AUG-22,27-JUN-23
1108,2022,015558175,31-AUG-21,28-JUN-22
1105,2022,007292718,31-AUG-21,28-JUN-22
1109,2022,010334457,31-AUG-21,28-JUN-22
1111,2023,008985963,31-AUG-22,27-JUN-23
1109,2022,027400879,31-AUG-21,28-JUN-22
1112,2022,035828459,31-AUG-21,28-JUN-22
1115,2022,040900392,31-AUG-21,28-JUN-22
1112,2022,002041573,31-AUG-21,28-JUN-22
1108,2023,000449158,31-AUG-22,27-JUN-23
1111,2022,025191074,31-AUG-21,28-JUN-22
1111,2022,044725647,31-AUG-21,28-JUN-22
1112,2023,044571835,31-AUG-22,27-JUN-23
1424,2023,045752830,31-AUG-22,27-JUN-23
1113,2023,000762980,31-AUG-22,27-JUN-23
1115,2022,015608061,31-AUG-21,28-JUN-22
1113,2023,005248571,31-AUG-22,27-JUN-23
1306,2022,027086546,31-AUG-21,28-JUN-22
1105,2023,033072662,31-AUG-22,27-JUN-23
1101,2022,035239749,31-AUG-21,28-JUN-22
1203,2022,021423752,31-AUG-21,28-JUN-22
1135,2023,050740951,31-AUG-22,27-JUN-23
1112,2022,036514587,31-AUG-21,28-JUN-22
1305,2023,033771081,31-AUG-22,27-JUN-23
1305,2023,039583530,31-AUG-22,27-JUN-23
1203,2022,014279815,31-AUG-21,28-JUN-22
1113,2023,000014440,31-AUG-22,06-MAR-23
1104,2022,046087640,31-AUG-21,28-JUN-22
1108,2023,039348835,31-AUG-22,27-JUN-23
1115,2024,050448282,05-SEP-23,26-JUN-24
1115,2024,003057198,05-SEP-23,26-JUN-24
1115,2024,026066069,05-SEP-23,26-JUN-24
1115,2024,013825873,05-SEP-23,26-JUN-24
1102,2024,013743993,05-SEP-23,26-JUN-24
1424,2024,028279926,05-SEP-23,26-JUN-24
1109,2024,048501465,05-SEP-23,26-JUN-24
1102,2024,052494839,05-SEP-23,26-JUN-24
1101,2024,039175873,05-SEP-23,26-JUN-24
1112,2024,032585128,05-SEP-23,26-JUN-24
0590,2024,049951651,05-SEP-23,26-JUN-24
1112,2024,017103277,05-SEP-23,26-JUN-24
1115,2024,052848901,05-SEP-23,26-JUN-24
1305,2024,038533973,05-SEP-23,26-JUN-24
1105,2024,002141639,05-SEP-23,26-JUN-24
1105,2024,011953347,05-SEP-23,26-JUN-24
1306,2024,034063181,05-SEP-23,26-JUN-24
1306,2024,017659070,05-SEP-23,26-JUN-24
1105,2024,004462819,05-SEP-23,26-JUN-24
1303,2024,010920164,05-SEP-23,26-JUN-24
1103,2024,032719321,05-SEP-23,26-JUN-24
1101,2024,031386171,05-SEP-23,26-JUN-24
1306,2024,038379724,05-SEP-23,26-JUN-24
1111,2024,034051376,05-SEP-23,26-JUN-24
1306,2024,029021368,05-SEP-23,26-JUN-24
1424,2024,010277904,05-SEP-23,26-JUN-24
1102,2024,021426870,05-SEP-23,26-JUN-24
1108,2024,047764908,05-SEP-23,26-JUN-24
1305,2024,001667691,05-SEP-23,26-JUN-24
1112,2024,044881135,05-SEP-23,26-JUN-24
1302,2024,041869927,05-SEP-23,26-JUN-24
1302,2024,042987280,05-SEP-23,26-JUN-24
2239,2024,012892528,05-SEP-23,26-JUN-24
1112,2024,012380383,05-SEP-23,26-JUN-24
1424,2024,022398086,05-SEP-23,26-JUN-24
0590,2024,047097291,05-SEP-23,26-JUN-24
2078,2024,032712763,05-SEP-23,26-JUN-24
1113,2024,028098136,05-SEP-23,26-JUN-24
2078,2024,037659563,05-SEP-23,26-JUN-24
1135,2024,019030577,05-SEP-23,26-JUN-24
1306,2024,012450988,05-SEP-23,26-JUN-24
0590,2024,014502653,05-SEP-23,26-JUN-24
2078,2024,033661431,05-SEP-23,26-JUN-24
1306,2024,039126124,05-SEP-23,26-JUN-24
1306,2024,000251067,05-SEP-23,26-JUN-24
1108,2024,009140964,05-SEP-23,26-JUN-24
1305,2024,005451860,05-SEP-23,26-JUN-24
1101,2024,008361678,05-SEP-23,26-JUN-24
1108,2024,047364865,05-SEP-23,26-JUN-24
1102,2024,050560821,05-SEP-23,26-JUN-24
1105,2024,031339618,05-SEP-23,26-JUN-24
