REGISTRATION_SCHOOL_CODE,REGISTRATION_SCHOOL_YEAR,REGISTRATION_ASN,REGISTRATION_START_DATE,REGISTRATION_EXIT_DATE
1115,2022,027802058,31-AUG-21,28-JUN-22
1135,2022,034389248,31-AUG-21,28-JUN-22
1424,2022,019923649,31-AUG-21,28-JUN-22
1306,2022,044620277,31-AUG-21,28-JUN-22
1306,2022,007680227,31-AUG-21,28-JUN-22
1112,2023,038080405,31-AUG-22,27-JUN-23
1111,2023,006709936,31-AUG-22,27-JUN-23
1203,2022,004275963,31-AUG-21,28-JUN-22
1109,2023,052411353,31-AUG-22,27-JUN-23
2078,2023,004705456,31-AUG-22,27-JUN-23
1107,2022,006877188,31-AUG-21,28-JUN-22
1105,2023,002295823,31-AUG-22,27-JUN-23
1112,2022,039916912,31-AUG-21,28-JUN-22
1108,2022,008724313,31-AUG-21,28-JUN-22
1112,2022,034353947,31-AUG-21,28-JUN-22
2078,2023,020415478,31-AUG-22,27-JUN-23
2078,2023,037509073,31-AUG-22,27-JUN-23
1112,2022,022904933,31-AUG-21,28-JUN-22
1112,2022,000107277,31-AUG-21,28-JUN-22
1103,2022,003040509,31-AUG-21,28-JUN-22
2256,2023,030692637,31-AUG-22,27-JUN-23
2239,2022,043700195,31-AUG-21,28-JUN-22
1632,2022,026688292,31-AUG-21,28-JUN-22
1209,2022,032825656,31-AUG-21,28-JUN-22
1112,2024,049582308,05-SEP-23,26-JUN-24
2078,2024,044810126,05-SEP-23,26-JUN-24
1102,2024,027166892,05-SEP-23,26-JUN-24
2239,2024,012200904,05-SEP-23,26-JUN-24
1113,2024,003869998,05-SEP-23,26-JUN-24
1135,2024,029798791,05-SEP-23,26-JUN-24
0590,2024,010501600,05-SEP-23,26-JUN-24
1108,2024,051955509,05-SEP-23,26-JUN-24
0590,2024,030637251,05-SEP-23,26-JUN-24
2078,2024,033009433,05-SEP-23,26-JUN-24
0590,2024,006025275,05-SEP-23,26-JUN-24
1101,2024,035101261,05-SEP-23,26-JUN-24
1107,2024,018805847,05-SEP-23,26-JUN-24
1424,2024,052512762,05-SEP-23,26-JUN-24
1105,2024,001700484,05-SEP-23,26-JUN-24
1105,2024,015688618,05-SEP-23,26-JUN-24
1112,2024,000816075,05-SEP-23,26-JUN-24
0590,2024,024036916,05-SEP-23,26-JUN-24
1113,2024,006010798,05-SEP-23,26-JUN-24
2239,2024,019278671,05-SEP-23,26-JUN-24
2078,2024,022780457,05-SEP-23,26-JUN-24
2078,2024,004588753,05-SEP-23,26-JUN-24
2239,2024,031320402,05-SEP-23,26-JUN-24
1103,2024,010472349,05-SEP-23,26-JUN-24
1111,2024,002622349,05-SEP-23,26-JUN-24
2078,2024,043738203,05-SEP-23,26-JUN-24
1102,2024,051660125,05-SEP-23,26-JUN-24
1115,2024,002949312,05-SEP-23,26-JUN-24
