COURSE_COSE,COURSE_ENGLISH_FULL_NAME,COURSE_ENGLISH_SHORT_NAME,COURSE_FRENCH_FULL_NAME,COURSE_FRENCH_SHORT_NAME
CTS6677,Fabrication Studies 3G,Fabrication Studies 3G,Etudes fabrication 3G,Etudes fabrication 3G
CTS6755,Logistics 3A,Logistics 3A,Logistique 3A,Logistique 3A
CTS6753,Logistics 3E,Logistics 3E,Logistique 3E,Logistique 3E
CTS6744,Wildlife 3K,Wildlife 3K,Faune 3K,Faune 3K
DES3020,2-D Design Studio 2,2-D Design Studio 2,Design 2D - Studio 2,Design 2D - Studio 2
ELT2240,Network Protocols 2,Network Protocols 2,Protocoles de réseau 2,Protocoles de réseau 2
ENS1110,Natural Resources,Natural Resources,Ressources naturelles,Ressources naturelles
ENS2950,ENS Intermediate Practicum,ENS Intermediate Pract,Stage intermédiaire ENS,Stage intermed. ENS
ENS2140,By-product Management,By-Product Management,Gestion de sous-produits,Gestion sous-produits
ENT3020,Expanding the Venture,Expanding the Venture,Expansion d'entreprise,Expansion d'entreprise
ETA3415,Edison 3-Wire System,Edison 3-Wire System,Système Edison à 3 fils,Syst Edison a 3 fils
ETA3475,ETA Practicum B,ETA Practicum B,ETA - Cours pratique B,ETA - Cours pratique B
ETA3470,ETA Practicum A,ETA Practicum A,ETA - Cours pratique A,ETA - Cours pratique A
FAB1110,Bar & Tubular Fabrication,Bar & Tubular Fabrication,Fabrication avec barres et matériel tubulaire,Fab barres/mat. tubul.
FAB3048,Flux Cored Arc Welding 2,Flux Core Arc Weld 2,Soudage à l'arc avec fil fourré 2,Soudage arc-fil four.2
FAB3080,Automated Welding,Automated Welding,Soudage automatique,Soudage automatique
FAB3950,FAB Advanced Practicum,FAB Advanced Practicum,Stage avancé FAB,Stage avance FAB
FAS3010,Fashion Illustrations 2,Fashion Illustrations 2,Dessin de mode 2,Dessin de mode 2
FAS3150,Draping,Draping,Techniques de drapé ,Techniques de drape
FOD3090,Butcher Shop,Butcher Shop,Boucherie,Boucherie
FOR1090,Forest Ecology 1,Forest Ecology 1,Ecologie forestiere 1,Ecologie forestiere 1
FOR2030,Regulating Alberta's Forests,Regulat Alberta Forests,Règlementation forestière en Alberta,Regle forest-Alberta
HSA3436,Shampoo and Condition Hair,Shampoo & Condition Hair,Lavage des cheveux,Lavage des cheveux
HSA3420,Hair & Scalp Care 3,Hair & Scalp Care 3,Soins des cheveux et du cuir chevelu 3,Cheveux cuir chevelu 3
HSA3530,Chemical Texturizing 2 - Cold Waving,Chem Texture 2-CldWave,Traitement chimique 2 - Permanente froide ,Trait ch 2-Perm froide
HSA3571,Colouring Hair 2,Colouring Hair 2,Coloration 2,Coloration 2
HSA3555,Chemical Texturizing 5 - Client Services,Chem Texture 5-ClntSrv,Traitement chimique 5 - Service à la clientèle,Trait ch 5-Serv client
HSA3580,Hair Colouring 2 - Oxidative,Hair Colouring 2-Oxid,Coloration 2 - Oxydant,Colora 2-Oxydant
HSA3620,Hair Goods & Extensions,Hair Goods&Extensions,Rallonges de cheveux,Rallonges de cheveux
HSA3605,Hair Colouring 7 - Advanced Client Services 1,Hair Colouring 7-AdCS1,Coloration 7 - Service à la clientèle et techniques avancées 1,Colora 7-Ser tech av 1
HSS1020,Nutrition & Wellness,Nutrition & Wellness,Nutrition et bienêtre,Nutrition et bienetre
IED1736,Visual Communication 12,Visual Communication 12,Communic. visuelle 12,Communic. visuelle 12
IED1727,Industrial Education 10A,Industrial Education 10A,Arts industriels 10A,Arts industriels 10A
IED2898,Food Preparation 22C,Food Preparation 22C,Prep. des aliments 22C,Prep. des aliments 22C
IED2897,Food Preparation 22B,Food Preparation 22B,Prep. des aliments 22B,Prep. des aliments 22B
IED2881,Electricity 22B,Electricity 22B,Electricite 22B,Electricite 22B
IED2938,Machine Shop 22C,Machine Shop 22C,Atelier mecanique 22C,Atelier mecanique 22C
IED3832,Beauty Culture 32A,Beauty Culture 32A,Esthetique 32A,Esthetique 32A
IED3896,Food Preparation 32A,Food Preparation 32A,Prep. des aliments 32A,Prep. des aliments 32A
IED3906,Graphic Arts 32C,Graphic Arts 32C,Arts graphiques 32C,Arts graphiques 32C
IOP1843,Subtrades 16,Subtrades 16,Metiers 16,Metiers 16
IOP2291,Science 26,Science 26,Sciences 26,Sciences 26
IOP2839,Building Construction 26,Building Construction 26,Construction d'imm. 26,Construction d'imm. 26
IOP2831,Hair Care 26,Hair Care 26,Coiffure 26,Coiffure 26
IOP2802,Agricultural Mechanics 26,Agricultural Mechanics 26,Mecanique agricole 26,Mecanique agricole 26
IOP2748,Service Station Serv 26,Service Station Serv 26,Serv. aux stat.-serv. 26,Serv. aux stat.-serv. 26
ISA3430,Inductance & Capacitance,Inductance&Capacitance,Inductance et capacitance,Inductance capacitance
JLC1381,Japanese 10,Japanese 10,Japonais 10,Japonais 10
ISA3480,ISA Practicum C,ISA Practicum C,ISA - Cours pratique C,ISA - Cours pratique C
JRH7300,Agriculture 7,Agriculture 7,Agriculture 7,Agriculture 7
JRH8430,Computer Literacy 8,Computer Literacy 8,Informatique 8,Informatique 8
JRH8361,Cree Lang & Culture 8,Cree Lang & Culture 8,Langue/culture Cris 8,Langue/culture Cris 8
KAE2570,Art/Design 20-4,Art/Design 20-4,Art/Design 20-4,Art/Design 20-4
KAE2592,Forestry 20-4,Forestry 20-4,Foresterie 20-4,Foresterie 20-4
LDC1192,Asia Pacific Rim Studies 15,Asia Pacific Rim Studies 15,Et. Asie/Pacifique 15,Et. Asie/Pacifique 15
LDC1362,Integrated Tech 15,Integrated Tech 15,Technologies intégrées 15,Techn intégr 15
NET3040,Microprocess Interface,Microprocess Interface,Interface microprocesseur,Circuits integres
NET3070,Routing Fundamentals,Routing Fundamentals,Introduction au routage,Intro. au routage
OTH9906,Feedlot Operations and Care 33,Feedlot Operations & Care,Parc d'engraissement - Opérations et soins 33,Parc engrais Opérations soins
PAR0974,Secretarial Training 30,Secretarial Training 30,Secretariat 30,Secretariat 30
PAR0493,Data Processing 12,Data Processing 12,Traitement de donnees 12,Traitement de donnees 12
PAR0343,Cloth Selection 30,Cloth Selection 30,Tenue vestimentaire 30,Tenue vestimentaire 30
PAR0256,Production Woodwork 22,Production Woodwork 22,Menuiserie 22,Menuiserie 22
PAR0223,Office Practice 20,Office Practice 20,Pratiques de bureau 20,Pratiques de bureau 20
PAR0172,Printing 10,Printing 10,Imprimerie 10,Imprimerie 10
PAR1505,Business Fundamentals 10,Business Fundamentals 10,Principes comm. fond. 10,Principes comm. fond. 10
PAR0986,Commercial History 1,Commercial History 1,Histoire du commerce 1,Histoire du commerce 1
PAR1745,IA Power Mechanics 10,IA Power Mechanics 10,Mecan. des moteurs 10,Mecan. des moteurs 10
PAR1952,Plastics 12,Plastics 12,Plastiques,Plastiques
PAR1948,Pipetrades 12,Pipetrades 12,Plomberie et chauf. 12,Plomberie et chauf. 12
PAR1892,Exec Housekeeping 12,Exec Housekeeping 12,Economie domestique 12,Economie domestique 12
PAR2730,IA Electronics 20,IA Electronics 20,Electronique 20 IA,Electronique 20 IA
PAR2932,Lithography 22,Lithography 22,Lithographie 22,Lithographie 22
PAR3730,IA Electronics 30,IA Electronics 30,Electronique 30 IA,Electronique 30 IA
PAR3560,Shorthand 31,Shorthand 31,Stenographie 31,Stenographie 31
LDC1444,Grasslands 15,Grasslands 15,Prairies 15,Prairies 15
LDC1670,Bank Cust Serv Rep 15,Bank Cust Serv Rep 15,Rep. service client 15,Rep. service client 15
LDC1669,Baker 15,Baker 15,Patisserie 15,Patisserie 15
LDC1687,Dental Assistant 15,Dental Assistant 15,Assist. dentaire 15,Assist. dentaire 15
LDC1706,Photographer 15,Photographer 15,Photographe 15,Photographe 15
LDC1704,Office Clerk 15,Office Clerk 15,Commis de bureau 15,Commis de bureau 15
LDC1844,Carpentry 15,Carpentry 15,Menuiserie 15,Menuiserie 15
LDC1767,Field Science 15,Field Science 15,Science de terrain 15,Sci terr 15
LDC1861,Fashion & Design 15,Fashion & Design 15,Mode et design 15,Mode et design 15
LDC2371,Blackfoot 25,Blackfoot 25,Pied-Noir 25,Pied-Noir 25
LDC2377,Chinese Studies 25,Chinese Studies 25,Etudes chinoises 25,Etudes chinoises 25
LDC2422,Percussion Ensembles 25,Percussion Ensembles 25,Ensembles des percussions 25,Ensemb percuss 25
LDC2465,Adv.Tech-Print/Draw/Sculpt 25,Adv.Tech-Print/Draw/Sculpt 25,Techniques avancées-Impression/Dessin/Sculpture 25,Tech av-Imp/Dess/Scul 25
LDC3086,Sports Education 35,Sports Education 35,Formation en sports 35,Form en sport 35
LDC3073,Fluid Power 35,Fluid Power 35,Puissance des fluides 35,Puiss fluides 35
LDC3069,Emergency Medical Responder Program -  Part I 35,Med Respond Part I 35,Premiers intervenants médicaux d'urgence I 35,Prem interv méd urg I 35
LDC3139,Colour Illustration 35,Colour Illustration 35,Illustration en couleur 35,Illust en coul 35
LDC3117,Preparation for Parenting 35,Preparation for Parenting 35,Préparation au rôle de parent 35,Prép. au rôle de parent 35
LDC3852,Commercial Art 35,Commercial Art 35,Art commercial 35,Art commercial 35
LDC3842,Building Operations 35,Building Operations 35,Entretien d'imm. 35,Entretien d'imm. 35
LGA3440,Botany 2,Botany 2,Botanique 2,Botanique 2
LGA3425,Plant Taxonomy,Plant Taxonomy,Taxonomie botanique,Taxon botanique
LGA3416,Site Maintenance,Site Maintenance,Entretien de site,Entretien de site
LGA3466,Turfgrass,Turfgrass,Gazon,Gazon
LGA3471,Fertilization,Fertilization,Fertilisation,Fertilisation
MEC3100,Safety Systems,Safety Systems,Systèmes de sécurité,Systemes de securite
OTH9908,Feedlot Husbandry and Systems 33,Feedlot Husbandry & Systems,Parc d'engraissement - Élevage et systèmes 33,Parc engrais Élevage systèmes
PAR1730,IA Electronics 10,IA Electronics 10,Electronique 10,Electronique 10
PAR1620,Home Economics 10,Home Economics 10,Arts menagers 10,Arts menagers 10
PAR1872,Dressmaking 12,Dressmaking 12,Couture 12,Couture 12
PAR1750,Metalwork 10,Metalwork 10,Travail des metaux 10,Travail des metaux 10
PAR2500,Bookkeeping 20,Bookkeeping 20,Tenue de livres 20,Tenue de livres 20
PAR2710,Automotives 21A,Automotives 21A,Automobile 21A,Automobile 21A
PAR3530,Data Proc 32,Data Proc 32,Traitement de donnees 32,Traitement de donnees 32
PAR3406,Arts & Crafts 30,Arts & Crafts 30,Arts et metiers 30,Arts et metiers 30
AEA3410,Electric Welding,Electric Welding,Soudage électrique,Soudage electrique
AEA3400,Tools & Materials,Tools & Materials,Outils et matériaux,Outils et materiaux
AGR3080,Floral Design 2,Floral Design 2,Composition florale 3,Composition florale 3
BKA3405,Raised Goods Theory 1,Raised Goods Theory 1,Pâtes levées - Théorie 1,Pates levees Theo 1
BKA3400,Tools & Equipment,Tools & Equipment,Outils et matériel,Outils et materiel
BUS1542,Business Education 10,Business Education 10,Sciences comm. 10,Sciences comm. 10
CCS2040,Integrative Health,Integrative Health,Santé intégrative,Sante integrative
CKA3451,Breakfast & Dairy,Breakfast & Dairy,Petit déjeuner et produits laitiers,Petit dej produit lait
CKA3461,Breads & Cookies,Breads & Cookies,Pains et biscuits,Pains et biscuits
CMA3470,CMA Practium A,CMA Practium A,CMA - Cours pratique A,CMA - Cours pratique A
CMH2020,Perspectives on Marriage,Perspectives on Marriage,Perspectives/mariage,Perspectives/mariage
CMH2010,Adolescent Health Issues,Adolescent Health Issues,Sante chez adolescents,Sante chez adolescents
COM1210,Digital Imaging 1,Digital Imaging 1,Imagerie numérique 1,Imagerie numérique 1
COM1025,Typography,Typography,Typographie,Typographie
COM2010,Present & Communicate 2,Present & Communicate 2,Presentation/communic. 2,Presentation/communic. 2
COM1910,COM Project A,COM Project A,COM - Projet A,COM - Projet A
COM1255,E-Learning & Learning Management Systems,E-learning & LMS,Apprentissage en ligne et systèmes de gestion de l'apprentissage,Appren. en ligne et LMS
COM1215,Photography - Exposure,Photography-Exposure,Photographie - Exposition,Photographie-Exposition
COM2040,Photography 2,Photography 2,Photographie 2,Photographie 2
COM2205,Photography - Composition,Photography-Composition,Photographie - Composition,Photo - Composition
COM2165,Printing  2,Printing  2,Impression 2,Impression 2
COM3025,Electronic Layout & Publishing 2,Elec Layout & Publish 2,Mise en page électronique et édition 2,Mise en page/edition 2
COM3005,Creative Writing,Creative Writing,Conception-rédaction,Conception-redaction
COM3105,AV Preproduction 2,AV Preproduction 2,Préproduction audiovisuelle 2,Preprod audiovisuelle 2
COM3235,Photography - B/W Digital Techniques,Photo-B/W Digital Tech,Photographie - Techniques numériques noir et blanc,Photo-Tech. num. n/b
COM3205,Photography - Lighting,Photography-Lighting,Photographie - Éclairage,Photographie-Eclairage
CON2020,Concrete Forming,Concrete Forming,Coffrage,Coffrage
CON2100,Agri-structures,Agri-structures,Bâtiments agricoles,Batiments agricoles
CON2070,Electrical Systems,Electrical Systems,Installations électriques,Installations electriques
CON2190,Manufacturing Systems,Manufacturing Systems,Systèmes de fabrication,Systemes de fabrication
CON2150,Finishing & Refinishing,Finishing & Refinishing,Finition et rénovation des meubles,Meubles/finition/renovat.
CON3080,Energy-efficient Housing,Energy-efficient Housing,Bâtiments à faible consommation d'énergie,Batiments econergetiques
CON3190,Production Planning,Production Planning,Planification de production,Planification de prod.
CON3140,Furniture - Surface Enhancement,Furn-Surface Enhance,Ébénisterie 4 - Embellissement de surfaces ,Ebenisterie 4
CON3910,CON Project D,CON Project D,CON - Projet D,CON - Projet D
COS2040,Haircutting 1,Haircutting 1,Coupe de cheveux 1,Coupe de cheveux 1
COS3160,Skin Care 3,Skin Care 3,Soins de la peau 3,Soins de la peau 3
CTR2010,Job Maintenance,Job Maintenance,Maintien de l'emploi,Maintien de l'emploi
CTR3120,Project 3B,Project 3B,Projet 3B - EPT,Projet 3B - EPT
CTR3140,Project 3D,Project 3D,Projet 3D - EPT,Projet 3D - EPT
CTR3130,Project 3C,Project 3C,Projet 3C - EPT,Projet 3C - EPT
CTS4565,Tourism Studies 1C,Tourism Studies 1C,Tourisme 1C,Tourisme 1C
CTS4561,Tourism Studies 1E,Tourism Studies 1E,Tourisme 1E,Tourisme 1E
CTS4604,Financial Management 1B,Financial Management 1B,Gestion des finances 1B,Gestion des finances 1B
CTS4623,Design Studies 1A,Design Studies 1A,Design 1A,Design 1A
CTS4621,Design Studies 1E,Design Studies 1E,Design 1E,Design 1E
CTS4619,Information Processing 1J,Information Processing 1J,Traitement de l'info. 1J,Traitement de l'info. 1J
CTS4640,Enterprise & Innov 1K,Enterprise & Innov 1K,Entreprise et innov. 1K,Entreprise et innov. 1K
CTS4639,Enterprise & Innov 1J,Enterprise & Innov 1J,Entreprise et innov. 1J,Entreprise et innov. 1J
CTS4754,Logistics 1F,Logistics 1F,Logistique 1F,Logistique 1F
CTS5561,Tourism Studies 2E,Tourism Studies 2E,Tourisme 2E,Tourisme 2E
CTS5634,Enterprise & Innov 2B,Enterprise & Innov 2B,Entreprise et innov. 2B,Entreprise et innov. 2B
CTS5703,Agriculture 2A,Agriculture 2A,Agriculture 2A,Agriculture 2A
CTS5702,Agriculture 2F,Agriculture 2F,Agriculture 2F,Agriculture 2F
CTS5686,Mechanics 2D,Mechanics 2D,Mecanique 2D,Mecanique 2D
CTS5735,Wildlife 2C,Wildlife 2C,Faune 2C,Faune 2C
CTS6517,Cosmetology 3G,Cosmetology 3G,Soins esthetiques 3G,Soins esthetiques 3G
CTS6550,Community Health 3K,Community Health 3K,Sante communautaire 3K,Sante communautaire 3K
CTS6561,Tourism Studies 3E,Tourism Studies 3E,Tourisme 3E,Tourisme 3E
CTS6560,Legal Studies 3K,Legal Studies 3K,Droit 3K,Droit 3K
CTS6559,Legal Studies 3J,Legal Studies 3J,Droit 3J,Droit 3J
CTS6555,Legal Studies 3C,Legal Studies 3C,Droit 3C,Droit 3C
CTS6574,Career Transitions 3B,Career Transitions 3B,Changement de carriere 3B,Changement de carriere 3B
CTS6567,Tourism Studies 3G,Tourism Studies 3G,Tourisme  3G,Tourisme  3G
CTS6579,Career Transitions 3J,Career Transitions 3J,Changement de carriere 3J,Changement de carriere 3J
CTS6576,Career Transitions 3D,Career Transitions 3D,Changement de carriere 3D,Changement de carriere 3D
CTS6597,Management & Marketing 3G,Management & Marketing 3G,Gestion et marketing 3G,Gestion et marketing 3G
CTS6611,Information Processing 3E,Information Processing 3E,Traitement de l'info. 3E,Traitement de l'info. 3E
CTS6619,Information Processing 3J,Information Processing 3J,Traitement de l'info. 3J,Traitement de l'info. 3J
JRH9330,Home Economics 9,Home Economics 9,Arts menagers 9,Arts menagers 9
JRH9431,Computer Studies 9,Computer Studies 9,Informatique 9,Informatique 9
KAE1571,Art/Media Communications 10-4,Art/Media Com 10-4,Art/Communication, médias 10-4,Art/comm. media 10-4
KAE2589,Child Care 20-4,Child Care 20-4,Puériculture 20-4,Puericulture 20-4
KAE3592,Forestry 30-4,Forestry 30-4,Foresterie 30-4,Foresterie 30-4
LDC1086,Sports Education 15,Sports Education 15,Formation en sports 15,Form en sport 15
MAM2055,Office Administration,Office Administration,Administration de bureau,Administration de bureau
MAM1910,MAM Project A,MAM Project A,MAM - Projet A,MAM - Projet A
MAT1200,Mathematics 10,Mathematics 10,Mathematiques 10,Mathematiques 10
MEC2050,Alternative Fuel Engines,Alternative Fuel Engines,Moteurs à carburant de remplacement,Carburant de remplac.
MEC2040,Fuel & Exhaust Systems,Fuel & Exhaust Systems,Systèmes d'alimentation en carburant et d'échappement,Carburant et echappement
MEC3070,Engine Reconditioning - Block,Engine Reconditn-Block,Reconstruction de moteurs - Bloc,Reconstr. mot.-Bloc
NET2060,Network Protocols,Network Protocols,Protocoles de réseaux,Protocoles de reseaux
NET2010,Digital Technology 2,Digital Technology 2,Technologie numérique 2,Technologie numerique2
NET3060,Wide Area Networks,Wide Area Networks,Réseaux étendus,Reseaux etendus
NET2920,NET Project C,NET Project C,NET - Projet C,NET - Projet C
OTH9905,Dairy Husbandry and Systems 33,Dairy Husbandry & Systems,Production laitière - Élevage et systèmes 33,Prod laitière Élevage systèmes
OTH9900,Cow-Calf Operations and Care 33,Cow-Calf Operations & Care,Vache-veau - Opérations et soins 33,Vache-veau Opérations et soins
OTH9920,Swine Husbandry and Systems 33,Swine Husbandry & Systems,Porc - Élevage et systèmes 33,Porc Élevage et systèmes
PAR0162,General Mechanics 17,General Mechanics 17,Mecanique 17,Mecanique 17
PAR1848,Commercial Art 12,Commercial Art 12,Art commercial 12,Art commercial 12
PAR1804,Aircraft Maintenance 12,Aircraft Maintenance 12,Entretien des avions 12,Entretien des avions 12
PAR2928,Library Theory & App 22,Library Theory & App 22,Theo./app. de biblio. 22,Theo./app. de biblio. 22
PAR2912,Heavy Duty Repair 22,Heavy Duty Repair 22,Rep. veh. lourd 22,Rep. veh. lourd 22
PAR3537,Business Foundations 30,Business Foundations 30,Fond. des affaires 30,Fond. des affaires 30
PAT0300,English Language Arts 3,English Language Arts 3,English Language Arts 3,English Language Arts 3
PRS1050,Renewable Resources,Renewable Resources,Ressources renouvelables,Res renouvelables
PSI3008,Emergency Medical Responder 3,Emergency Medical Responder 3,Répondants médicaux d'urgence 3,Répondants médicaux urgence 3
RAP2758,Electrician 25A,Electrician 25A,Electricien  25A,Electricien 25A
RAP2664,Welder 25B,Welder 25B,Soudeur  25B,Soudeur 25B
RAP3641,Water Well Driller - Water Well Driller 35A,Water Well Driller - WWD 35A,Foreur de puits d'eau  35A,Foreur de puits d'eau 35A
RAP3655,Parts Technician - Parts Technician 35A,Parts Technician - PT 35A,Technicien aux pièces détachées 35A,Tech pièces détachées35A
RAP3644,Water Well Driller - Water Well Driller 35D,Water Well Driller - WWD 35D,Foreur de puits d'eau  35D,Foreur de puits d'eau 35D
RAP3660,Appliance Service Technician 35B,Appliance Service Tech 35B,Technicien à l'entretien d'appareils 35B,Tech entretien d'appareils 35B
LDC3103,Human-Computer Interface 35,HumanCompInterface 35,Interface ordinateur-utilisateur 35,Interf ordi-util 35
LDC2414,Choir 25,Choir 25,Chorale 25,Chorale 25
LDC3213,Physics - Advanced 35,Physics - Advanced 35,Physique - Avancée 35,Physique - Avancée 35
LDC1451,Sport Psychology 15,Sport Psychology 15,Psycho. du sport 15,Psycho. du sport 15
LDC3464,Chinese (Cantonese) Language and Culture  6Y 35,Chinese Canton Lang&Cul  6Y 35,Langue et culture chinoises (cantonaises) 6Y 35,Chinoises (cantonaises) 6Y 35
PSI3311,Web development 1,Web development 1,Développement Web 1,Développement Web 1
LDC3168,Religious Studies The Old Testament Part B 35,RS The Old Testament Part B 35,Études religieuses Ancien Testament Partie B 35,Étud rel Ancien Testament B 35
LDC3787,Holocaust Studies 35,Holocaust Studies 35,Études de l’Holocauste 35,Études de l’Holocauste 35
LDC2491,Winter Travel 25,Winter Travel 25,Voyager en hiver 25,Voyager en hiver 25
LDC1464,Chinese (Cantonese) Language and Culture  6Y 15,Chinese Canton Lang&Cul  6Y 15,Langue et culture chinoises (cantonaises) 6Y 15,Chinoises (cantonaises) 6Y 15
LDC2469,Jazz Dance 25,Jazz Dance 25,Danse Jazz 25,Danse Jazz 25
LDC1815,Religious Studies Sikh History & Culture 15,RS Sikh History & Culture 15,Études religieuses Histoire et culture sikhes 15,Étu rel Hist et cult sikhes 15
LDC1017,Big History 15,Big History 15,Grandes questions historiques 15,Grandes ques historiques 15
LDC3282,Capstone 35,Capstone 35,Capstone 35,Capstone 35
LDC3131,Design Thinking for Innovation 35,DesignThinkingforInnovation 35,Pensée design pour l’innovation 35,Pensée design l’innovation 35
LDC2006,Interpretive Dance 25,Interpretive Dance 25,Interprétation en danse 25,Interprétation en danse 25
LDC1778,Literary Creation 15,Literary Creation 15,La création littéraire 15,La création littéraire 15
LDC2412,Ballet 25,Ballet 25,Ballet 25,Ballet 25
LDC1412,Ballet 15,Ballet 15,Ballet 15,Ballet 15
PSI3179,Introduction to Addictions Studies,Intro to Addictions Studies,Introduction aux études sur la toxicomanie,Intro aux études toxicomanie
PSI3137,Introduction to the Study of Society,Introduction to the Study of S,Introduction à l'étude de la société,Intro à l'étude de la société
PSI3128,Learning with Play,Learning with Play,L'apprentissage par le jeu,L'apprentissage par le jeu
PSI3126,Early Learning and Childcare Practice 1,Early Learning&Childcare Prac.,Stage apprentissage et garde des petits enfants 1 ,Stage apprentissage et garde 1
PSI3319,Foundations in Agriculture,Foundations in Agriculture,Fondements en agriculture,Fondements en agriculture
LDC3911,Leather Technologies 35,Leather Technologies 35,Technologies du cuir 35,Technologies du cuir 35
LDC2786,Broadcast Video 25,Broadcast Video 25,Diffusion vidéo 25,Diffusion vidéo 25
LDC1109,Neuropsychology 15,Neuropsychology 15,Neuropsychologie 15,Neuropsych 15
RVA3455,RVA Practicum D,RVA Practicum D,RVA – Cours pratique D,RVA – Cours pratique D
LDC3786,Broadcast Video 35,Broadcast Video 35,Diffusion vidéo 35,Diffusion vidéo 35
LDC1107,Positive Psychology 15,Positive Psychology 15,Psychologie positive 15,Psych pos 15
LDC3299,Dance Performance 35,Dance Performance 35,Interprétation de danse 35,Interpr danse 35
RAP4160,Steamfitter-Pipefitter 15,Steamfitter-Pipefitter 15,Tuyauteur-monteur de tuyaux de vapeur 15,Tuyauteuer-Monteur vapeur 15
RAP5218,Projectionist 25C,Projectionist 25C,Projectionniste 25C,Projectionniste 25C
RAP6101,Baker 35B,Baker 35B,Boulanger-pâtissier  35B,Boulanger-pâtissier 35B
RAP5321,Natural Gas Compression Technician 25B,Natural Gas Comp Tech 25B,Technicien de compresseur de gaz naturel 25B,Tech compress gaz naturel 25B
RAP6110,Carpenter 35C,Carpenter 35C,Charpentier-menuisier  35C,Charpentier-menuisier 35C
RAP6174,Bricklayer 35C,Bricklayer 35C,Briqueteur-maçon  35C,Briqueteur-maçon 35C
RAP6208,Power System Electrician 35A,Power System Electrician 35A,Électricien de réseau élec  35A,Électricien de réseau élec 35A
RAP6202,Plasterer 35C,Plasterer 35C,Platrier 35C,Platrier 35C
RAP6200,Plasterer 35A,Plasterer 35A,Platrier 35A,Platrier 35A
RAP6284,Outdoor Power Equipment Technician - Power Equipment 35A,Outdoor Pwr Equip Tech-PE  35A,Technicien d'appareils motorisés de plein air 35A,Tech apps motos plein air 35A
RAP6281,Recreation Vehicle Service Technician 35B,RV Service Technician 35B,Technicien de véhicules récréatifs 35B,Tech véhicules récréatifs 35B
RAP6323,Natural Gas Compression Technician 35D,Natural Gas Comp Tech 35D,Technicien de compresseur de gaz naturel 35D,Tech compress gaz naturel 35D
RAP6321,Natural Gas Compression Technician 35B,Natural Gas Comp Tech 35B,Technicien de compresseur de gaz naturel 35B,Tech compress gaz naturel 35B
REC1050,Sport Psychology 1,Sport Psychology 1,Psychologie du sport 1,Psychologie du sport 1
TOU3070,Reservations & Ticketing,Reservations & Ticketing,Reserv. billets d'avion,Reserv. billets d'avion
PLA3431,Install and Test Piping Systems,Install & Test Piping Systems,Installer et tester systèmes de canalisation,Installer tester canalisations
PSI3033,Basic Psychological Processes,Basic Psychological Processes,Processus psychologiques de base,Processus psychols de base
PSI3081,Concrete and Soil Basics,Concrete and Soil Basics,Béton et sol - notions de base,Béton et sol - notions de base
PLA3461,Pipe Trades Calculations,Pipe Trades Calculations,Calcul de tuyauteur,Calcul de tuyauteur
PSI3205,Dance Fundamentals,Dance Fundamentals,Fondements en danse,Fondements en danse
PSI3199,Dental Office Procedures,Dental Office Procedures,Procédures du cabinet dentaire,Procédures du cabinet dentaire
HCA3410,Communication Level 1,Communication Level 1,Communication niveau 1,Communication niv 1
HCA3450,Clinical Practice 1A,Clinical Practice 1A,Pratique clinique 1A,Pratique clinique 1A
HCA3401,Role and Responsibilities,Role and Responsibilities,Role et Responsabilities,Role et Responsabilities
ESL1122,English as a Second Language 10-Level 3,English SL 10 - Level 3,Anglais langue seconde 10 — niveau 3,Anglais LS 10 — niveau 3
LDC2569,Forensic Studies 25,Forensic Studies 25,Criminalistique 25,Criminalistique 25
ITA0012,Italian Language and Culture  6Y 10,Italian Language & Cul  6Y 10,Langue et culture italiennes  6Y 10,Langue cul. italiennes  6Y 10
LDC2067,Sculpting Advanced Techniques 25,Sculpting Advanced Tech 25,Sculpture techniques avancées 25,Sculpture techniques avan. 25
LDC2088,Religious Studies (7th Day Adventist) 25,RS 7th Day Adventist 25,Éducation religieuse (Église adventiste du septième jour) 25,Éducation rel. (adventiste) 25
LDC2106,Religious Studies New Testament 25,RS New Testament 25,Études religieuses Nouveau Testament 25,Études rel. Nouveau Test. 25
HCA3430,Client Hygiene,Client Hygiene,Hygiène de la clientèle,Hygiene de la clientele
LDC2136,Musical Theatre in Performance 25,Musical Theatre Perf 25,Théâtre musical en spectacle 25,Théât music spect 25
PSI3204,Pastry Fundamentals,Pastry Fundamentals,Fondements en pâtisserie,Fondements en pâtisserie
PSI3045,Calculus 1,Calculus 1,Calcul différentiel et intégral 1,Calcul différ et integral 1
LDC3250,Band Music 35,Band Music 35,Musique harmonie scolaire 35,Mus harm scol 35
LDC2206,Social Literacy 25,Social Literacy 25,Littératie sociale 25,Littératie sociale 25
CLC1487,Cree Language and Culture 12Y 10,Cree Language & Culture 12Y 10,Langue et cultures cries 12Y 10,Langue et cul. cries 12Y 10
CHI3096,Chinese Language and Culture  6Y 30,Chinese Language & Cul  6Y 30,Langue et culture chinoises  6Y 30,Langue cul. chinoises  6Y 30
CLC2488,Cree Language and Culture  3Y 20,Cree Language & Culture  3Y 20,Langue et cultures cries  3Y 20,Langue et cul. cries  3Y 20
ITA1768,Italian Language and Culture 12Y 10,Italian Language & Cul 12Y 10,Langue et culture italiennes 12Y 10,Langue cul. italiennes 12Y 10
