COURSE_COSE,COURSE_ENGLISH_FULL_NAME,COURSE_ENGLISH_SHORT_NAME,COURSE_FRENCH_FULL_NAME,COURSE_FRENCH_SHORT_NAME
FOD1080,Food & Nutrition Basics,Food & Nutrition Basics,Notions de base en alimentation et nutrition,Alimentation nutrition
FOR2100,Forest Management,Forest Management,Gestion forestière,Gestion forestiere
FOR2070,Sustainable Fibre Harvesting & Processing,Sustain Fibre Hrvst&Proc,Récolte et transformation durable des fibres,Recolte/trans/durfibres
FOR2920,FOR Project C,FOR Project C,FOR - Projet C,FOR - Projet C
HSA3541,Hair Wrapping 2,Hair Wrapping 2,Enroulement des cheveux 2,Enroulement des cheveux 2
IOP1633,Food Services 16,Food Services 16,Services alimentaires 16,Services alimentaires 16
IOP1632,Commercial Food Prep 16,Commercial Food Prep 16,Prep. commerc. alim. 16,Prep. commerc. alim. 16
IOP1631,Home Management 16,Home Management 16,Gestion domestique 16,Gestion domestique 16
IOP1547,Office Services 16,Office Services 16,Services de bureau 16,Services de bureau 16
IOP1835,Beauty Culture 16,Beauty Culture 16,Esthetique 16,Esthetique 16
IOP1802,Agricultural Mechanics 16,Agricultural Mechanics 16,Mecanique agricole 16,Mecanique agricole 16
IOP1801,Agricultural Prod 16,Agricultural Prod 16,Production agricole 16,Production agricole 16
IOP1734,Practical Arts 16,Practical Arts 16,Arts appliques 16,Arts appliques 16
IOP2734,Practical Arts 26,Practical Arts 26,Arts appliques 26,Arts appliques 26
IOP2547,Office Services 26,Office Services 26,Services de bureau 26,Services de bureau 26
ISA3455,Control Valves,Control Valves,Vannes de contrôle,Vannes de controle
JRH7340,Industrial Education 7,Industrial Education 7,Arts industriels 7,Arts industriels 7
LDC1273,Student Lead Safe&Care 15,Student Lead Safe&Care 15,Animation par élève sûre et attentive 15,Anim élè sûre et attent 15
CTS5723,Forestry 2A,Forestry 2A,Foresterie 2A,Foresterie 2A
CTS5736,Wildlife 2D,Wildlife 2D,Faune 2D,Faune 2D
BKA3480,BKA Practicum D,BKA Practicum D,BKA - Cours pratique D,BKA - Cours pratique D
CCS1080,Community Volunteerism 1,Community Volunteer 1,Bénévolat communautaire 1,Benevolat commun. 1
CCS1020,Back Care Basics,Back Care Basics,Soins du dos,Soins du dos
CMH3110,Advances in Medical Tech,Advances in Medical Tech,Decouvertes biomedic.,Decouvertes biomedic.
COM2155,Design - Brand Identity,Design-Brand Identity,Conception - Identité de marque,Concept-Ident. marque
COM2130,Special Effects Photo,Special Effects Photo,Photogr./effets speciaux,Photogr./effets speciaux
COM3040,Photography 3,Photography 3,Photographie 3,Photographie 3
COS3080,Permanent Waving 5,Permanent Waving 5,Permanente 5,Permanente 5
COS3060,Haircutting 3,Haircutting 3,Coupe de cheveux 3,Coupe de cheveux 3
COS3220,Wigs & Toupees,Wigs & Toupees,Perruques et toupets,Perruques et toupets
CRA3405,Basic Hand, Power Tools & Safety,Basic Tools & Safety,Outils de base et sécurité,Outils de base/securite
CTS3047,Client Services 3,Client Services 3,Service à la clientèle 3,Service à la clientèle 3
CTS4539,Foods 1J,Foods 1J,Alimentation 1J,Alimentation 1J
CTS6588,Communication Tech 3H,Communication Tech 3H,Tech. des comm. 3H,Tech. des comm. 3H
FAS1040,Fashion Basics,Fashion Basics,Vive la mode,Vive la mode
FAS2120,Surface Embellishment,Surface Embellishment,Détails de finition,Details de finition
FOR2040,Woods Survival 2,Woods Survival 2,Survie en foret 2,Survie en foret 2
HCS2120,Pain & Pain Management,Pain & Pain Management,Gestion de la douleur,Gestion de la douleur
HCS2050,Nervous System & Senses,Nervous System&Senses,Système nerveux et sens,Systeme nerveux/sens
HCS1910,HCS Project A,HCS Project A,HCS - Projet A,HCS - Projet A
HEA3475,HEA Practicum B,HEA Practicum B,HEA - Cours pratique B,HEA - Cours pratique B
HEA3460,Air Brake Mechanics,Air Brake Mechanics,Freins a air 2,Freins a air 2
HEA3485,HEA Practicum D,HEA Practicum D,HEA - Cours pratique D,HEA - Cours pratique D
HEA3480,HEA Practicum C,HEA Practicum C,HEA - Cours pratique C,HEA - Cours pratique C
