SECTION_ID,SECTION_CREDITS,SECTION_DELIVERY_SCHEDULE,SECTION_DESCRIPTION,SECTION_START_DATE,SECTION_END_DATE,SECTION_LANGUAGE,SECTION_REFID,SECTION_SCHOOL_CODE,SECTION_SCHOOL_YEAR,SECTION_TERM,SECTION_COURSE_CODE
1583189,1,REG,MEC1040.1 - Engine Fundamentals,09-NOV-22,30-JAN-23,EN,e3eb11e5-377c-4394-8535-09ad7e4dc924,1108,2023,Semester1,MEC1040
1583196,5,REG,RAP2989.1 - Heavy Equipment Technician 25B,05-NOV-21,30-JAN-22,EN,b545e5f2-3f7c-45bd-a5e5-d9d89bae61d4,0590,2022,Semester1,RAP2989
1583220,1,REG,WLD1100.2 - Outdoor Cooking Theory,08-NOV-21,30-JAN-22,EN,df9deb03-c43a-429b-b047-2cdafbc0b14a,1101,2022,Quarter2,WLD1100
1583313,5,REG,RAP5124.SS - Gasfitter-First Class 25A,18-NOV-21,28-JUN-22,EN,8cf56edd-237d-4eb0-aaf0-0318eaf3654b,2239,2022,FullYear,RAP5124
1583317,1,REG,CON1140.1 - Turning Operations,05-DEC-22,30-JAN-23,EN,e2e1ca41-ed6a-4b98-a10d-1ab5b2bdc5ba,1101,2023,Semester1,CON1140
1583332,1,REG,EST1025.1 - Skin Care Practices - Client Services,05-DEC-22,30-JAN-23,EN,b4f23f21-8970-44f0-a42b-d77129c2c01e,0590,2023,Semester1,EST1025
1583380,1,REG,INF2080.C - Spreadsheet 2,25-NOV-21,28-JUN-22,EN,d5ed8b17-40a9-472f-975a-d1bc907792f8,0590,2022,FullYear,INF2080
1583393,1,REG,EST2050.1 - Make-up,08-DEC-22,30-JAN-23,EN,32bde7eb-d999-4685-a9c7-7ea3104e49e2,1101,2023,Semester1,EST2050
1583394,1,REG,AGR1050.BBB - Plant Propagation,08-DEC-22,27-JUN-23,EN,96efde82-f080-44ef-b030-725851063e02,2239,2023,FullYear,AGR1050
1583397,1,REG,FOD1040.1 - Meal Planning 1,13-DEC-22,30-JAN-23,EN,043ebdf0-1e96-4493-beac-43000a557009,0590,2023,Semester1,FOD1040
1583421,1,REG,FOD3030.2 - Creative Baking,01-DEC-21,30-JAN-22,EN,adf9c25a-85ba-4c11-8535-6a4f66c2fc34,1101,2022,Quarter2,FOD3030
1583425,5,REG,RAP5152.3 - Plumber 25A,01-DEC-21,28-JUN-22,EN,8f4b0d9e-8329-4451-a8b0-36b5a421f336,0590,2022,FullYear,RAP5152
1583440,1,REG,CON1140.2 - Turning Operations,03-DEC-21,30-JAN-22,EN,ccc59c37-43ec-4744-bd4f-e8aa42bedd2c,1101,2022,Quarter2,CON1140
1583480,1,REG,EST1025.1 - Skin Care Practices - Client Services,08-DEC-21,30-JAN-22,EN,90cbd170-4f80-4e64-b90b-820622403cb9,0590,2022,Semester1,EST1025
1583483,1,REG,COS3020.1 - Long Hair Design 3,08-DEC-21,30-JAN-22,EN,9310dce0-3e61-4a89-9963-0e3271da7a31,0590,2022,Semester1,COS3020
1583497,1,REG,HSA3426.3 - Salon Operations,08-DEC-21,28-JUN-22,EN,561414fa-8e92-4a98-bcd0-8741bdd2cd1b,0590,2022,FullYear,HSA3426
1583513,1,REG,HSA3476.3 - Various Haircuts,08-DEC-21,28-JUN-22,EN,02a3ba37-610f-4242-8e0c-8f0b795460cc,0590,2022,FullYear,HSA3476
1583514,1,REG,CSE1910.1 - CSE Project A,22-DEC-22,30-JAN-23,EN,73665454-0bcd-46df-ab59-ed719f3cdee7,0590,2023,Semester1,CSE1910
1583526,1,REG,HSA3496.3 - Facial and Nape Hair Trimming & Remova,08-DEC-21,28-JUN-22,EN,28f66d31-2e83-426d-a529-aa81ff0e1065,0590,2022,FullYear,HSA3496
1583542,10,REG,OTH3998V.1 - Work Experience 35 (Variable Credit),10-JAN-23,27-JUN-23,EN,80ece1e0-8745-4d5c-b2bb-6c63056a4a59,1306,2023,FullYear,OTH3998
1583566,1,REG,COM2055.1 - Web Design 2,11-JAN-23,30-JAN-23,EN,1f2546ae-55c7-4985-8cb6-8fb2bff0615b,0590,2023,Semester1,COM2055
1583567,1,REG,MEC1090.2 - Electrical Fundamentals,11-JAN-23,30-JAN-23,EN,8a5a5ded-09a3-46e2-b7c0-3e8c3a697c3b,0590,2023,Semester1,MEC1090
1583583,1,REG,FOD1060.2 - Canadian Heritage Foods,16-DEC-21,30-JAN-22,EN,6f644949-6f26-4e3b-9911-6d739eab3bca,1101,2022,Quarter2,FOD1060
1583593,1,REG,CON3040.1 - Stair Construction,13-JAN-23,30-JAN-23,EN,b51e6a3d-a994-47fd-978b-086169f00beb,1108,2023,Semester1,CON3040
1583595,1,REG,CON3150.1 - Furniture Repair,13-JAN-23,30-JAN-23,EN,4d4650bf-f782-4c9b-b89a-d4a3944b1122,1108,2023,Semester1,CON3150
1583612,1,REG,HCS1050.C - Musculoskeletal System,16-JAN-23,27-JUN-23,EN,cb3d5841-5d53-491f-971b-f34b6f9a6496,0590,2023,FullYear,HCS1050
1583625,5,REG,RAP1758.1 - Electrician 15,15-FEB-23,30-JAN-23,EN,f258cd0f-a72e-4660-a8ed-ec43fb7b64e3,1101,2023,Semester1,RAP1758
1583662,1,REG,FAB1100.C - Fabrication Principles,24-JAN-23,27-JUN-23,EN,724a751e-4343-4089-a2cd-6acb92c0272b,0590,2023,FullYear,FAB1100
1583674,1,REG,WLD1020.2 - Wildlife Diversity,14-JAN-22,30-JAN-22,EN,f31f07f7-9f54-4dcd-a6e9-e3f2c571907e,0590,2022,Semester1,WLD1020
1583679,1,REG,HSA3581.3 - Colouring Virgin Hair and Regrowth,14-JAN-22,28-JUN-22,EN,9a1f7983-f56d-4482-9495-f8f4664ff0cc,0590,2022,FullYear,HSA3581
1583685,1,REG,HCS2120.2 - Pain & Pain Management,27-JAN-23,30-JAN-23,EN,ba869ea8-4842-49a6-81ca-f202cb3a85c1,1108,2023,Semester1,HCS2120
1583688,1,REG,MEC2160.1 - Steering Systems,27-JAN-23,30-JAN-23,EN,701a20d9-e41d-42e7-bf42-8bc19429ea45,1108,2023,Semester1,MEC2160
1583703,1,REG,ELT1010.2 - Electro-assembly 1,31-JAN-23,27-JUN-23,EN,a3c8007b-6301-413b-a680-00d4b994b391,1303,2023,Semester2,ELT1010
1583720,1,REG,FOD1040.1 - Meal Planning 1,18-JAN-22,30-JAN-22,EN,4b0504c9-1358-4d8a-834b-b6d0733ad991,0590,2022,Semester1,FOD1040
1583723,5,REG,MAT3791.2 - Mathematics 30-1,01-FEB-23,27-JUN-23,EN,b5e8c63c-d15b-4d07-a2a8-d8286c3cefc8,1203,2023,Semester2,MAT3791
1583728,5,REG,ELA1104.CH - English Language Arts 10-2,18-JAN-22,30-JAN-22,EN,24dc0228-7646-4451-ac26-d6db940823fe,1101,2022,Semester1,ELA1104
1583755,1,REG,LGS3010.C - Property Law,20-JAN-22,28-JUN-22,EN,10798ee6-16ef-4a32-bf9a-5c06947f3ad1,0590,2022,FullYear,LGS3010
